Participant,Group, Stream, Parameter,Model,Estimate
AH,6_per_sec,1,Efficacy,Normal,0.8836
AH,6_per_sec,2,Efficacy,Normal,0.7144
CW,6_per_sec,1,Efficacy,Normal,0.8973
CW,6_per_sec,2,Efficacy,Normal,0.8401
EN,6_per_sec,1,Efficacy,Normal,0.9543
EN,6_per_sec,2,Efficacy,Normal,0.7600
FJ,6_per_sec,1,Efficacy,Normal,0.9427
FJ,6_per_sec,2,Efficacy,Normal,0.7475
PG,6_per_sec,1,Efficacy,Normal,0.8857
PG,6_per_sec,2,Efficacy,Normal,0.9543
SM,6_per_sec,1,Efficacy,Normal,0.9326
SM,6_per_sec,2,Efficacy,Normal,0.6274
AH,8_per_sec,1,Efficacy,Normal,0.8442
AH,8_per_sec,2,Efficacy,Normal,0.6980
CW,8_per_sec,1,Efficacy,Normal,0.8538
CW,8_per_sec,2,Efficacy,Normal,0.7450
EN,8_per_sec,1,Efficacy,Normal,0.8844
EN,8_per_sec,2,Efficacy,Normal,0.6968
FJ,8_per_sec,1,Efficacy,Normal,0.9049
FJ,8_per_sec,2,Efficacy,Normal,0.9282
PG,8_per_sec,1,Efficacy,Normal,0.8803
PG,8_per_sec,2,Efficacy,Normal,0.8513
SM,8_per_sec,1,Efficacy,Normal,0.8197
SM,8_per_sec,2,Efficacy,Normal,0.4165
AH,12_per_sec,1,Efficacy,Normal,0.7654
AH,12_per_sec,2,Efficacy,Normal,0.5815
CW,12_per_sec,1,Efficacy,Normal,0.7100
CW,12_per_sec,2,Efficacy,Normal,0.6151
EN,12_per_sec,1,Efficacy,Normal,0.8571
EN,12_per_sec,2,Efficacy,Normal,0.6372
FJ,12_per_sec,1,Efficacy,Normal,0.8326
FJ,12_per_sec,2,Efficacy,Normal,0.5460
PG,12_per_sec,1,Efficacy,Normal,0.6899
PG,12_per_sec,2,Efficacy,Normal,0.7511
SM,12_per_sec,1,Efficacy,Normal,0.8018
SM,12_per_sec,2,Efficacy,Normal,0.6093
AH,24_per_sec,1,Efficacy,Normal,0.4809
AH,24_per_sec,2,Efficacy,Normal,0.3866
CW,24_per_sec,1,Efficacy,Normal,0.6184
CW,24_per_sec,2,Efficacy,Normal,0.4166
EN,24_per_sec,1,Efficacy,Normal,0.7171
EN,24_per_sec,2,Efficacy,Normal,0.1617
FJ,24_per_sec,1,Efficacy,Normal,0.5004
FJ,24_per_sec,2,Efficacy,Normal,0.1779
PG,24_per_sec,1,Efficacy,Normal,0.4579
PG,24_per_sec,2,Efficacy,Normal,0.4540
SM,24_per_sec,1,Efficacy,Normal,0.4628
SM,24_per_sec,2,Efficacy,Normal,0.0000
