Participant,nStream,Confidence,Parameter,Model,Estimate,Lower,Upper
AJ7,twoStreams,High,Efficacy,Normal,0.8366,0.7108,0.9623
AN14,twoStreams,High,Efficacy,Normal,0.9182,0.8062,1.0302
BB6,twoStreams,High,Efficacy,Normal,0.9543,0.8932,1.0155
IK4,twoStreams,High,Efficacy,Normal,1.0000,0.3140,1.6860
JA8,twoStreams,High,Efficacy,Normal,0.8526,0.7417,0.9635
LH9,twoStreams,High,Efficacy,Normal,1.0000,-0.3106,2.3106
LS2,twoStreams,High,Efficacy,Normal,0.9174,0.7593,1.0754
LT5,twoStreams,High,Efficacy,Normal,1.0000,0.5756,1.4244
RN12,twoStreams,High,Efficacy,Normal,0.0000,0.0000,0.0000
YZ15,twoStreams,High,Efficacy,Normal,1.0000,-0.5014,2.5014
AJ7,twoStreams,Low,Efficacy,Normal,0.8848,0.7678,1.0018
AN14,twoStreams,Low,Efficacy,Normal,0.6792,0.5681,0.7903
BB6,twoStreams,Low,Efficacy,Normal,0.8064,0.6928,0.9200
IK4,twoStreams,Low,Efficacy,Normal,0.7833,0.6924,0.8741
JA8,twoStreams,Low,Efficacy,Normal,0.6941,0.5575,0.8307
LH9,twoStreams,Low,Efficacy,Normal,0.7146,0.6246,0.8046
LS2,twoStreams,Low,Efficacy,Normal,0.6975,0.5928,0.8022
LT5,twoStreams,Low,Efficacy,Normal,0.8896,0.8162,0.9631
RN12,twoStreams,Low,Efficacy,Normal,0.4507,0.3509,0.5504
YZ15,twoStreams,Low,Efficacy,Normal,0.6754,0.5540,0.7968
AJ7,eightStreams,High,Efficacy,Normal,0.9736,0.9225,1.0247
AN14,eightStreams,High,Efficacy,Normal,0.9489,0.8796,1.0182
BB6,eightStreams,High,Efficacy,Normal,0.8984,0.8211,0.9758
IK4,eightStreams,High,Efficacy,Normal,0.9145,0.8095,1.0195
JA8,eightStreams,High,Efficacy,Normal,0.7793,0.6629,0.8957
LH9,eightStreams,High,Efficacy,Normal,0.0000,0.0000,0.0000
LS2,eightStreams,High,Efficacy,Normal,0.9599,0.8827,1.0370
LT5,eightStreams,High,Efficacy,Normal,0.9707,0.9141,1.0273
RN12,eightStreams,High,Efficacy,Normal,0.8194,0.4964,1.1425
YZ15,eightStreams,High,Efficacy,Normal,0.0000,0.0000,0.0000
AJ7,eightStreams,Low,Efficacy,Normal,0.7499,0.6384,0.8614
AN14,eightStreams,Low,Efficacy,Normal,0.6241,0.4911,0.7571
BB6,eightStreams,Low,Efficacy,Normal,0.7155,0.6009,0.8301
IK4,eightStreams,Low,Efficacy,Normal,0.5933,0.4745,0.7122
JA8,eightStreams,Low,Efficacy,Normal,0.7165,0.6011,0.8318
LH9,eightStreams,Low,Efficacy,Normal,0.8216,0.7470,0.8962
LS2,eightStreams,Low,Efficacy,Normal,0.8459,0.7607,0.9310
LT5,eightStreams,Low,Efficacy,Normal,0.8792,0.8090,0.9493
RN12,eightStreams,Low,Efficacy,Normal,0.5483,0.4463,0.6504
YZ15,eightStreams,Low,Efficacy,Normal,0.7101,0.6174,0.8028
