experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	eccentricity	polarAngle	cueType	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	CT1EndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 endogenous 	O 	R 	0.0 	4 	0 	-4.0 	BGCJSVYARPXOLUFKDMITWQENZH	YIFQAHUTLKVGXJRMZBSODCNEWP	WBXPKCLNYJTVSMDFIOGAZERUQH	VBFNEHCWAOKUTJRGIDQPLZYXSM	IKOVFBRANLXJSPZDMCUGYTQWEH	QMRAPDJITYNKEFULGHZSOCWBVX	0
main	1 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 endogenous 	G 	M 	0.0 	0 	0 	6.0 	PTKSQCJNFMBWYHEGDULXZVIRAO	TLEQHOCKIVGPFBDUMWYASZRXJN	-99	-99	-99	-99	0
main	2 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 endogenous 	E 	Q 	0.0 	1 	0 	3.0 	VXPECFDLUIOWAYSGKJQHZTBRNM	XTKHIBQWOEFZPDUCVMRSNGAJYL	-99	-99	-99	-99	0
main	3 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 endogenous 	P 	P 	1.0 	0 	0 	0.0 	KCUSFDIMPENLJHOZGWQAVXBYTR	ZMBFYHQECUXWPIGKORTDVLNAJS	-99	-99	-99	-99	0
main	4 	CT1EndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 endogenous 	A 	X 	0.0 	1 	0 	3.0 	CMOAUGIDQBZYPTXHNWLREVJKFS	OTZKHLXEGAIJWMPFNSVDRBCUYQ	YUCLNRTZMDHBWOVKFQSAGJEIXP	RSJHCMWTAXVKGEUPFOYLIBQNZD	HNBCPJSMUYKTFGWXLDOEAQRZVI	FOUGPLBQRWVTCMXENSJKDYAHZI	1
main	5 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 endogenous 	W 	P 	0.0 	0 	0 	9.0 	CKHUZOVYAIPFQBXGNMEWTRSJLD	DTSBAHOXRZWPGYQEUCNLVIFJMK	-99	-99	-99	-99	0
main	6 	CT1EndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 endogenous 	H 	I 	0.0 	0 	0 	1.0 	GDALSUEIHRNFZOPVQWMKJBCTYX	UWFIZYONBQXAHJTVKCMLDSPREG	JWLIUZHCEPGQAMTRVFNXBSKYOD	BROWXSMNFHVEPJIZCGQTKDUALY	MVCPHBJTLXGRADEQYWOFSUKNZI	QFUJVLZMSKINEDGTXWBHRAYOCP	0
main	7 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 endogenous 	E 	J 	0.0 	0 	0 	14.0 	GCSHQWJBNVUKMXYZRFODEPATLI	UYLJBSKQIXPZODHNACMTERWGFV	-99	-99	-99	-99	0
main	8 	CT1EndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 endogenous 	P 	V 	0.0 	2 	0 	13.0 	THNVOJGMQSLCWIXAFEKYZPBDRU	FEQBHYVOSGWJCZUKMTDAPLIXNR	BKHMTANSJVEZGQLRUYXWFOPDCI	TEDVFKLQXYGPNCBWHURJOAZSIM	LEIRZCPVYDKTGFAWJXMNQHBOSU	TNUMRGWEYFIXDAHCBLOJPZVQSK	2
main	9 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 endogenous 	B 	K 	0.0 	0 	0 	5.0 	CEAFVIGKQHZJBWYPUSLRNODMTX	YBPHOFJSZWTXLEAUNCMKIGVRDQ	-99	-99	-99	-99	0
main	10 	CT1EndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 endogenous 	C 	F 	0.0 	3 	0 	6.0 	YIQVCZTNKGOSHAPWFDUBMJREXL	UWVPDMAOFHTNJRLZBECIGQXSKY	URXFGTLODYESPJKBAQVMCZHNIW	ATSMRQFJOEUNCZIPBHKLGVWXYD	BADXPNSHOUEKYTGQJFWRMCLIVZ	LCHQXDFGPREYKBTZUAISNOJMWV	1
main	11 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 endogenous 	S 	S 	1.0 	0 	0 	0.0 	YQNZRGXLKSBJCMUHWAFIPETOVD	ZEVQNHDOPTYCWBFJIXLRKUSAMG	-99	-99	-99	-99	0
main	12 	CT1EndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 endogenous 	B 	D 	0.0 	1 	0 	-2.0 	GIDBXZVESFWPNRCQYTOMULAHKJ	ICTFBGDXRKVNWZMHUJQOSELAYP	-99	-99	-99	-99	0
