"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"fixationReject"
"main"	6	"JA8 "	" oneCued "	0	" right "	8	135	"S "	0	9	"I "	0	7	0	5	"DQPFBMHOVUTXZNLAKJREIYSG"	"ASTEUHLFJONMKPIVXQGYRZDB"	"QYOAZXHSLUBJIKPRGFEDMNTV"	"GSPFAJMKHIOTRBZEXYUQLNDV"	"QBSIOPGDTYFNLRVHAUEXMZJK"	"AXQRPIOLTZNKHEVSYUMJBGDF"	"OAZBPGNMKSIFRLUHJDXETYVQ"	"DVYOJRZLQINPBHSTUXMEGFAK"	0	FALSE
"main"	8	"JA8 "	" oneCued "	0	" right "	8	90	"O "	2	10	"F "	0	0	0	-1	"GJUVYRSATOFQZDHIMBPXKELN"	"EDIZQLMNUVKATGXJYHOFRSBP"	"PSVLOZFATRGEKUNJQYMXBIDH"	"XVANUDSGPYKMRHBFTJILOEZQ"	"ODLMIRHYUFBTKNVEXSGQZJPA"	"LYRPJNUOFDXZITGQMSEVHKAB"	"XAOETJQMBGYSRIKLDZHFUPNV"	"HNYJTKEBDISFMQPULAXZGVOR"	0	FALSE
"main"	11	"JA8 "	" oneCued "	0	" right "	8	180	"B "	0	8	"B "	1	7	0	0	"DYANBISUFEXJVMOQPLZRHKTG"	"GKLVJYFTBADSMEUQNIZHOPXR"	"NDFSUVMRATPOXLYGKZEQIHJB"	"KOGMJIHEDPAYNTZVBRSQXLFU"	"DUPGJAESXYOHVQMNILBKRTZF"	"DNMGKSIJQPTXFLHYRVEUABOZ"	"BNGKDJUALMHQXRTYFOPVIESZ"	"MUNGXITABYDJQZFRPKHVELSO"	0	FALSE
"main"	14	"JA8 "	" oneCued "	0	" right "	8	315	"S "	0	7	"A "	0	7	0	2	"TYHENORQIDZAJUFXKPSBVMLG"	"XYVDRZJEHGPSQBMAITLFOUNK"	"JLIAPDMNOHQUXBYFKZGSTRVE"	"GVQLAMYODHPZTUXNKJRISEFB"	"YVZPFETDJXAHSINRMLOUGKBQ"	"HNEBZQJUROYKGXDIASPTMVFL"	"LSYRKJQTXOHPFZGBAIDUNVEM"	"IJMRYBVAOSZGXQDNPHELFTUK"	0	FALSE
"main"	15	"JA8 "	" oneCued "	0	" right "	8	45	"Y "	0	6	"I "	0	3	0	1	"RUZADXFMNVLSQYHKPTJIEOBG"	"BOVKLSFDITYHRXNMAGPJQUEZ"	"QNGIPKAZXRMESJYUTBFHVDLO"	"XPOHMNIYRZTSAQBEKGULVJFD"	"SGBTZXJDMUKVOLFPHYIQANRE"	"PBORYESUGVZXHLDNFTMQAKIJ"	"YHNBZRATSFOJXVUEDLMIGQKP"	"VJMHFKDGAPINBYUOELRQSZXT"	0	FALSE
"main"	17	"JA8 "	" oneCued "	0	" right "	8	180	"H "	2	7	"I "	0	2	0	13	"XVPLHRDKQSIZNFTEUJGOABMY"	"VDTQYZFGNSAKERMXBULJHOPI"	"MKTVEOQIJADRLXFNGBZUHSYP"	"BIKANUFXLZRJSVTYOEGQPHDM"	"ENUXPKIZGFAQJTSHDYROLMBV"	"YFDEMVQHRLJUSAZNGOBXTPKI"	"BKDZPGSRLQAVUTMJFNHXEIYO"	"JBAIXOZUTHLEKYFGPDNRSMQV"	0	FALSE
"main"	19	"JA8 "	" oneCued "	0	" right "	8	225	"X "	2	10	"V "	0	0	0	1	"QADHNEBJOZVXRFPGULSMYITK"	"XIVAYPBTUKEDGZNJQSRHMFOL"	"ULIVXNQHYOKTAMSFBRPZEGJD"	"XFINEMKDSARTHLJQOPGVBYZU"	"LQFPNXHJRABZOYIKMDGETUSV"	"FDEXRMLKPAGQHVYBUITNSJZO"	"DSNIQRLEMOGKPJFVHXYAZUTB"	"TKOYEDRVQSGJNPULXMFZHABI"	0	FALSE
"main"	24	"JA8 "	" oneCued "	0	" right "	8	225	"R "	2	9	"X "	0	6	0	1	"JQGAITRBOXSFZLPMDYVHEUNK"	"KHBDLUSVZPEXQYIOAMNJGFTR"	"IYKGRBMLZUJDANXEVTSHFPQO"	"HZJLIOAPQUVNFGDKXYSBETMR"	"LHBPNZARVETJQXGUYMDOFKIS"	"INEYHGZJLUXPQRBOKTMSFADV"	"TBHQJEVDMXRKPOFGUYAZLNIS"	"TXMEGVZUQJASDNIORLYKBHFP"	0	FALSE
"main"	25	"JA8 "	" oneCued "	0	" right "	8	270	"H "	2	7	"E "	0	7	0	6	"QGJLRKOVSAHZPXNIEDTFUYBM"	"KUXHQZDMOYSLIPVJAFRNBEGT"	"NVGUMPHYBRQKSJZDFLOXIETA"	"SJDRPGYKIQXFNVOZHLUEMABT"	"SLHFPKMXZUNVADBGIYEQOJRT"	"JPVETKANLHYBFOQGXUZSMRID"	"MQPOGRKJUHSYFDZANBLXTIEV"	"FKNSXMPEIJTLBHDVQUYOGAZR"	0	FALSE
"main"	29	"JA8 "	" oneCued "	0	" right "	8	90	"J "	2	10	"R "	0	2	0	1	"PNOYKGFTJARVEILHDZUXQSBM"	"QAJOSNFYUZEDIBXPGLHRKVTM"	"PKQEVDMXSFRJYGOLNZITUABH"	"EHVAZKUSBYLNIDMRQJPXFTGO"	"BXAQETOKRZJGLHNVUIPSFYDM"	"HEKOBNGADMQTULJSXFPVYIZR"	"MKPAOVJDYNSIZBQLRXTFGHEU"	"TNUVPEMXJLQAIYGOSHZBFRKD"	0	FALSE
"main"	33	"JA8 "	" oneCued "	0	" right "	8	0	"P "	0	7	"S "	0	0	0	11	"HEVKDRTSFOXZNAJGIMPQLBYU"	"RGLSYPODEUHNTFAIMJKBQZXV"	"GEHDNFQVJABTLUYMOXIRPZSK"	"BERZMYTINKVFAUGXHJSLOPQD"	"UDYJHXORZTAPSNIKFLVGBQME"	"ZVENHFDAQKXPSYJRMGUITBLO"	"IXAJNPEHUGVRZMTYFKDOLQSB"	"NVIAPJOXRFUTDBKEZQMSLHGY"	0	FALSE
"main"	34	"JA8 "	" oneCued "	0	" right "	8	135	"A "	2	10	"A "	1	1	0	0	"EBTAQFOGPZYNILURXMJKHVSD"	"OZRIDMHNSXAVKYEJLFPGUQBT"	"UVFGOEMBSZPLIQRDTKJHNYXA"	"PKMNZLRTHOEXUGBSDVAQIFJY"	"AXDSKBGNPUZQIHJEMYOVFRLT"	"YQZEXSLPKURTANGVHFJMDIBO"	"BSUGTAKJVMNZDFYPLOHEIXQR"	"KQJBMFAEYOLTHRVNXGZSIDPU"	0	FALSE
"main"	36	"JA8 "	" oneCued "	0	" right "	8	315	"T "	2	8	"N "	0	1	0	1	"FHQXBNDSUMAZRPYOGLVJIKET"	"GAEBUQFPNTYJIZDOXMSKLRVH"	"UGIKDFLMVOSQAHYNERPTBJXZ"	"GBYEFUPTLVINDZKQJOAHSXRM"	"GBEKPAXLNFYSTDIROMHUJQZV"	"IBNHSFJOXDMQYLKPERTUVGAZ"	"MDFATKRBZPHLYXOIUEQJNGVS"	"EQSBORMYFDIAGUPXNLTHJZVK"	0	FALSE
"main"	37	"JA8 "	" oneCued "	0	" right "	8	315	"P "	0	6	"L "	0	1	0	2	"TOHMKLZIBYUXDQFAPJVRNESG"	"QTRMFOLYPGUIEANSXZHKBVDJ"	"PXRNYOZJMIGEKQHLSDBVTAUF"	"AQZSDTOBLIKUYJFHVNEGXRMP"	"NPXOYZTKBDHJSVFGLIEMURAQ"	"MOEHZNTIGRUQPKBSFJDLAYXV"	"AJMKSVOBEUGNRLIQDZHPXTFY"	"PQONSBUZTERYXMVAGFLKDIHJ"	0	FALSE
"main"	42	"JA8 "	" oneCued "	0	" right "	8	45	"U "	0	10	"U "	1	3	0	0	"AXQRGNBOHLDSVUKYMTFZJEPI"	"ZBSUQXRLKPVEFHITJGYOAMND"	"RDEKMASBTGFIVZOQXUHPLNYJ"	"HJKXGPEBNIUVLOAMQTDYSZRF"	"UXHOLSYNZIKPFMVBGDRQTAEJ"	"FVUPXSEDGZTBNOJKAHLMRYQI"	"FGESLRDYIVOPTMKNUBQAJHZX"	"JSOPEKAYGZIHNLBMTQXFVUDR"	0	FALSE
"main"	44	"JA8 "	" oneCued "	0	" right "	8	90	"K "	0	7	"R "	0	5	0	1	"ITFRJLUHGOXBEYNMZVSQDAKP"	"TKSXHUZQYLAGRBFODNIVJMPE"	"UFBLIHMEQGVZJRKSDAPNYXOT"	"FVSZQOMPGBAYUIJKEDRXLTNH"	"HDAOPMUNIBQXSFZLREKJVTGY"	"TOUXSIGRKNBVEPHQJZFYMLDA"	"JGDTYUOSRZEQAHBFMKXVLPIN"	"HNKJOLXPMBUAGIDSQYEVRTZF"	0	FALSE
"main"	48	"JA8 "	" oneCued "	0	" right "	8	45	"M "	2	7	"M "	1	5	0	0	"JUQKBSGPOTMARIFZLXDHENYV"	"DXPLUZJVHYMGTFRNQIASBKEO"	"IMPJEOXKDNGLQBUSFARZTHYV"	"ZNDKQVFHBEUILOAXMPSTRYJG"	"OJPVMLAYIQZUSTEXNFRKDHGB"	"KONPYGHMDVSILEQBUFXAJZTR"	"UHYTJRBKODIPSXMGFNZEQLAV"	"AYBKTDRPOVIMUGFNHQXEZLJS"	0	FALSE
"main"	49	"JA8 "	" oneCued "	0	" right "	8	315	"I "	2	6	"R "	0	2	0	1	"TZMXYDPAVEFUBRHJOQGSINLK"	"XJPZRMFSVYUBAKHTQDILGEON"	"UKSAHVRITBGXDYLPOEJQNMFZ"	"YQHBPEFIOZTGARUSLNMJKVDX"	"KQGSARONHDBVLJEXZUMYFIPT"	"KJXUZHIASOREDPYLVTQNBFGM"	"RMNOVBHEUADGLQTJZPIFSXKY"	"SEKLBVMGQARZYFHDJTPXIOUN"	0	FALSE
"main"	51	"JA8 "	" oneCued "	0	" right "	8	180	"M "	0	10	"D "	0	2	0	1	"TXEAPGBMZUSLVHKNRYIOFJQD"	"IGFDSPURBXEZNHKLAMVYTJOQ"	"QONZRUJAGSDMKPVYBEHLXIFT"	"GZYPBELFTXAMOQVNSHRKUDJI"	"LINEDGHUXTJMVZSBKAOPRQFY"	"PGDOFJNKQRSBVUEITXZALHMY"	"AHDBPQSIVMEFKJYTRXUGLNOZ"	"AUSBHRGVNPLKDEZFXMJIQYOT"	0	FALSE
"main"	54	"JA8 "	" oneCued "	0	" right "	8	0	"I "	2	8	"U "	0	1	0	1	"DPNLFXYIHQSEABGUZKOMVTJR"	"RMELBDYZUINSVHOKXAQJFGTP"	"AKNJMVIEBFLDTHYXQUOZPRSG"	"UJXOBDZARIFPQYTLEGKMVNHS"	"PBTJHDRYVSFMEUQGNOLAXKIZ"	"KLBGQUHNRVMDJSITOAEXYFPZ"	"JAMQIDOUZEKLRFPHGSBXTYNV"	"DZUQFMGHNYILJKPAVXSTERBO"	0	FALSE
"main"	57	"JA8 "	" oneCued "	0	" right "	8	180	"E "	0	9	"E "	1	5	0	0	"AZIHLSGBOKMENVURTJYDFXQP"	"VBLIYGANUTRXSEQJKPHDMZFO"	"UPKHREFGQAMXYDNTISVLZOJB"	"QGSKXLMTDVBNHOEPIYFAJRUZ"	"YIVETXQHBRAJODLNPGUMKSZF"	"TGADHJUKFERSOLYBQPNIXMVZ"	"YTAFQNISKBLZHOGPXUMERDVJ"	"QLUYEAFVTXRKIPHBJMGZDOSN"	0	FALSE
"main"	58	"JA8 "	" oneCued "	0	" right "	8	315	"O "	2	10	"O "	1	1	0	0	"NPDREJIXBQGVKZMAUFSTOHYL"	"NLVTKJAHMROQEIDZSPUFXYGB"	"MPUQVFIERNHKGZADXOTJLSBY"	"IBJGANMRLOFDSZVKUTHPEYQX"	"PHNLUVMTEASRXYGBFOKIZDJQ"	"HTOMKDAYGVFPNBULJZIQSEXR"	"HGVZJLUYXOFPDIRTENKBMAQS"	"XTSRYVJNMUILKBQDAZGEOHFP"	0	FALSE
"main"	59	"JA8 "	" oneCued "	0	" right "	8	180	"X "	0	6	"I "	0	2	0	3	"TQYEJZLFOBVXPIMKNGASRDUH"	"YIAPXGELMKBVJFTHQNZOUSRD"	"BTOFUMIKEXQPLDAJGYSNVRZH"	"VSYFNLRKMZOJIGXEDHQBAUTP"	"JZYLRUAPXMOTBKNGDEISHFQV"	"IRFVTYGLAZMNUDJSHKQOBEXP"	"GLMQBVRPXNJOHZSYKTAUEFID"	"NMFEVRUJTQOZBXDPALYKHSIG"	0	FALSE
"main"	61	"JA8 "	" oneCued "	0	" right "	8	90	"V "	2	9	"A "	0	0	0	1	"FOLKJBSYEAVDHUXIZNGRMPTQ"	"ILYOQVNPXGARDKEJMHSTUZBF"	"HGXEFISPZUVOQLDJNARKBTYM"	"FLPEYUQXBIGMDOVKSRZHNJAT"	"UZAISXKGVBFDHERPQTJMYLON"	"BENKVFXYTLMUZIPJRSDOQHGA"	"DVGLUIKFEOPSXARNYQHMTZBJ"	"DXIBQALPJEHYKZTGVNOFMRUS"	0	FALSE
"main"	65	"JA8 "	" oneCued "	0	" right "	8	135	"T "	2	7	"H "	0	0	0	1	"ZRUEMGBHTYDOAIKPLVXFJSNQ"	"NZBHMVYKOARPGSUXEDTLJFIQ"	"KYVGBRHNTISZOPMJLXADQEFU"	"EIQSVYBHFZRKDPMTUXJNGAOL"	"VIEJNUZTPQAORBXFHLYDKGMS"	"RKPOYSBJEZDUXLFNHAGTIMVQ"	"UTRQSEVDOXIKPHANYZFGJLBM"	"KLRIDOSBEJVGHTPAQZFXNUYM"	0	FALSE
