experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	baseAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	0 	Alex 	 oneCued 	 0.0 	 right 	 355.854892661 	R 	C 	0.0 	18 	0 	-2.0 	SBONMTXJZEPVLCHQDGWKFRAYIU	YNGVBAEZMKFSTCWUODPHIRQLJX	CHPMKZLIOSNTRWAFYEGXJVQUDB	UYFODSQKANXWMBJGZIPVTCRELH	TFBGCKIHERPLWMDOAYXNJUVSZQ	YBCKIRPOAFMQNEVHXUSDGJWZLT	KHAQZXYSRWTFBLIGCDUONJMPEV	MKOBCRQZFUWPYDXVGJAENHTILS	EXYQCSRNGFZUPVTIAWMJBLHOKD	LVHATESIMKCNQDBXOGWJFYZRPU	FCSKENAYLPGRQWTHZUJIMXBODV	PZRALCJYMWSVHUBNIFQXDGKOET	NPBMQDFXYTIHAUJLGVOWKECRSZ	KSEOULNADRCBYJIXHZGWQVFPTM	NWUGVHCFRQOZSLKYJPDIATEMXB	VESYQACGLWPUIZTFRHDOJMNXKB	INVECXUJHTLFQBMORKPSWAYZGD	CNAJMKVDIPXOEHFQRUYSWGZBTL	GMZSVYOXRFCLBTPANHEQWJIKUD	VBGCMSFQELXNRWYIZHUDKPOTJA	QFVECGSMLBHWTRIDYXAPUKONJZ	17
main	1 	Alex 	 oneCued 	 0.0 	 right 	 106.999756137 	C 	P 	0.0 	19 	0 	3.0 	HQTBMPFLVARXONDKCGEWUZYISJ	ORFNXSEDAJQGIZBPKTVHMYCULW	PBFEAQNWXRMKSHYGLUJVDCOTIZ	VKOQELXABHPNYUFCRISGDTMZWJ	WOTUMGJXLZANBFIVPHKCYDSQRE	GEXANWJPSLQMCUOVTBYFKIHDRZ	GEKBVJHRXSQFCZUPYDMWOLAINT	WHSGUIETOCKPJVQNZLDRBFXYMA	SFDKALUBMNXJTZREYOQIGPCVWH	GHXUWPTFZANBIKDCLEYMVOSRQJ	VEATDSQILRXNOMFGBHWJPKCZYU	WJEUODKRBTIYQMLFHZNVCXAPSG	IGNWBVECRSYQKJDLMPUFOZAHTX	BPROGLFVUSQYTWXHMJDKEANZCI	OVAMTZBKPRCUEWDLHGJXISYNFQ	JPLGKOQMDHXAUSCTBEWNZFVYRI	IQTGVUBFJMYEHLNZXCKWOPDSRA	DAOEFVKBRCMZTNHLWSPUGJQYXI	PBSVHIUJTRWECDZFQGKYANMLXO	DBYNUQTPEXCJIZFWVKGRLSHAMO	YNQHDVRLWMUTZOBEIAXJPSGCKF	0
main	2 	Alex 	 oneCued 	 0.0 	 left 	 113.892038654 	S 	T 	0.0 	10 	0 	2.0 	AXDYKIZGPOVMFEJWRUTHSLCNBQ	LMETXBRSOJUZGPKQVWANHIYDCF	XSLTMGEZVCIHANPOBQKRDYJUWF	EHONURBTSKIGAZFWPMLVQDCJXY	BJEQKFMCSHYRDUNGZTIAPOVXLW	BVIUJSCWXNGTLFEKZMHYDOARQP	LGNEDRWSBQMXAZJOVTICPKUHYF	ASNUDKLFQEWHJXBGYZOVTMCPRI	WNPEFUHMAGZDJIQOKTYVLCBRSX	DSGYPFHCXIZJLMNTOKVWAEUQRB	FHWDGLTYSZIVQORMNCKJUPBXAE	PFQNIOEJDBGAYSULTRCVZHKMXW	PFOSRGVMQNHYEKLZXJUADBCIWT	YKQXOHVGPCBMEDUWAJFTZLINSR	DXGSIUFOPCEQTJZKYBNRAWLMHV	OFSWAEYRIHNDJBTPKUGQZVCLMX	HJXBZECUTFQMWNSPDRGKYLVOAI	QTVASRZIEXPJWMBKGNLDFCOYHU	BJIDCROZPNKWSELQVHFXMYAUTG	SNTIXEYODZKQPVCGLMBWUJRAHF	DXAJSPCFUMNEBYWIOHKQTZRVLG	0
main	3 	Alex 	 oneCued 	 0.0 	 right 	 335.789595477 	G 	L 	0.0 	11 	0 	2.0 	ZJSDUXBQHGFWAYINVETKLMRCPO	FCZDTXQBLHEUWJRPGMSYINOAKV	DGMCWZUNTOSEQHLFABRJVPKYIX	MDIFYLWUKBZGJNQERVOCHPSATX	JCBZXTLYAEIUPDQHMGKNSFOWRV	DLNVPXFTBZUKSGHQYJAIMOERWC	ZINRBLSPKMDTCOXHFJWQEAUGVY	DPZHMWNURQKCSJXVOYEFIBALTG	KSWVTYXUNDLBREJCQPGZAHMOFI	AMOPKSGZIHWUTCBQYVRENJFXDL	ZXQOKUNGMIDVPTFLRSCBYHAJWE	XZCFNTOVMLKGJDEHIQRAUSPBWY	QUBOMDENYAPIKVFZCSLHTXGWJR	LGKMVYJRXQFDTSWIBOPEHNACUZ	HWEIBTOMCJSXAZLQRFNKGDPYVU	OUSLCQPJDTYGMAIEFVZWRKNHXB	GAEKWUZLCTVIDHJMBXYRQPNOSF	BNHLJOZRFUMEWIAPDXVKTGQSYC	QTZBUVLYSAGXOCKMRHJNWPEIFD	TKXHWZDJGYSMOEFAVCBURNLPQI	SNLYRWUBPOXCEMGVKZFHJDTAIQ	0
main	4 	Alex 	 oneCued 	 0.0 	 left 	 12.6224083547 	M 	F 	0.0 	4 	0 	3.0 	KTNJCOFLHEBWIUGAZSVQPXMRYD	XWANDZGLYTBQIHOKVRCUSFEJPM	FQVJLKOSPICURWXNTMHZYABGED	YWGPIAJEZFLDVOHMKQXRCSNUBT	VPYDALXFNIMUBWOKGZSCTERJQH	GNQOPWZDFVMAETLCKJRIBSXHUY	GUQYAFVIENPZDCBMSWJTXHLRKO	MDOCBJVAUKPWTNGEFLRHXISYQZ	HGPIFTOUBEZMKRVYQCSLJXDWNA	GIZKVQYPJXTAUNHRODESFLBMWC	ZBGFKELXQCTVMISYRAHWDJUPON	UVKIBCEYGFDXZRLPOWQTJSHNMA	KCDLBNVJYGOPMQRXTUEZHAIFSW	QSCPRLDYGTHBMVOIFWNAXEJKUZ	PVURTCQXDIBLESOJNGAZWMFKYH	KGSHRBCZMVUNWOIPATYFEDJXQL	WROYICSZABXVKLTNDPQFHMGEUJ	QLUNJPSMGBTHEZCXORDYFIKAWV	WEOFHTNCUYVJDSQAZIPGRMXLBK	EZRJBDCULNYOVTXGPAKFSWMQIH	XCBHTZDIURAWVMNQYOSJGPKFLE	0
main	5 	Alex 	 oneCued 	 0.0 	 right 	 280.537269047 	G 	W 	0.0 	4 	0 	10.0 	VZROXFBGUYEWMJDKINLPQHTSAC	FZTGPCUNBVRQIHOLMKEDXYASJW	VZDUNEFJSGOQRLPXHITAMWCYKB	JNHWAIFPQSDLYCVZERUMGXOTBK	STENJIWBCFYLKUZAGOVQDPMHRX	ALDXESVCUWGNPMBYZKOJQHIRFT	HAUTQGCKRXYIPLBOSMDNZFVWEJ	DCYFIPSGRZJMVEONBUHKQXAWLT	PQAZMIWEXFLNVKSCGYHJURBDTO	JODXBIQRGFAYWSZTUHLCEMVPNK	UEXGCVNHOZAQJRKMWDYBTFISLP	SCEPMKLDTZYUQBGXJIRVFWOHAN	YVJDRPGZQSMKACTOUFHXBLWIEN	CAZKUIJBSMNYRPEDOFXQWHGVLT	NAZGTPOYDKEVWSICXBURFHQLJM	KTOSVHDZBERFINQWYUPGCLMXJA	SJKWRCNBETQAMOFYZGPLVIDXHU	JSXMQGEYRZKPVIHNOBCAFTLWUD	FMHUJVQPRBOAELSTNIZGDKXWYC	TLPJKBQUFXWORVIDGHECZSANYM	COIWGATXESPUKRZMHLJYFQNDBV	0
main	6 	Alex 	 oneCued 	 0.0 	 right 	 49.6516792756 	G 	D 	0.0 	17 	0 	4.0 	NKJFVXBWTOGDSLHYAUPIEQCZMR	QZDCALETIHWONSUFXYBGVPMJKR	BLJDAMFPTIQKHOYSZXGUWNCREV	GJNFLRQYKUAOTHESMXCDPZIVBW	NRTBQIMOFPXAJZKWLVHDECSGYU	XKJUWQFYILGPBSRCOVZMTDANHE	GHYEVZRPTLFOMBDXNJIUSQAKCW	QOCDJYGVPRBTUHFWEKZNMSLIAX	DCLKEFPOSGIXBYANRQWTZJHVMU	ELNVUDFOKMZRXJPSGHYBICWQAT	SDJVEQFTNRCAXIZMBYLOHUGPKW	QRYWPKLMDVBJTEUXIZSANHFOCG	EKRYVHIGCJOBXFTZDSLUNWAPMQ	JXCKRDZYISNTUAHVGQWEPOBFML	BAVJCPFGXONWYURKIDSLEQTZHM	GORSZHAFIDTQUYVEPXCLMBJNKW	NHPCYVWASBLZROJDMFTUGEKQIX	EBLKRYFDVJIGCQPOWANMUZHSXT	MOIZRSXDGHYKETULPJVNBCFWAQ	MPYSFJQGUHTNLIBEWRCDOKAVXZ	VLSPGNQEXBAKJCIZMYORWDTHUF	0
main	7 	Alex 	 oneCued 	 0.0 	 left 	 93.6883437556 	O 	S 	0.0 	0 	0 	3.0 	HGLRJVNAMTSCQOYFIKDBWPEUZX	YKEUCVWNMXRGJDOPTHAZBQSLIF	CTURFZSDMIYHVAPLXWOBQGEKNJ	LVUPMNZGIFOWQSATBHDCRKEJXY	SFGKOWQAIJRPDHZXULCMYENVBT	THERBJOSPLCGXVYDIUWFANKQMZ	JAUZMVNGWRECTDYFBLHKPIXOSQ	OJEKCBDIYHFNTVGRALPQZXMWSU	ZLIYJXMWHBASDEKVPQNORTFUGC	WKMNGSYDAOZJLUVIHTFBPCQXRE	FODBCIUJASTNVXWEZQHRKYGLMP	RIJHLQZWXCEUDOMTSNKBVPYGFA	AOWPUHCJXDERSTBKIFVNYMQGZL	KMIVQSXHUWLNRZBYDEGPAJCTOF	MURFNQXKLHVPSDYOTZCBWGJIEA	DOSVLIWKXMBHZQTUEYGNFPRAJC	OJZTAGYLHXUVKEPMCIRQBNSFDW	ITJGWYNBARESVQLXUFDKMPOCHZ	EGFNMCJOYLQPRXKAUVIWTDBHZS	HLZMIEBCUOVASNQFTWKDXPYRJG	CRBDOTLWAMXGZJNYQPVKSEHUIF	0
main	8 	Alex 	 oneCued 	 0.0 	 left 	 235.279865645 	A 	Q 	0.0 	16 	0 	2.0 	AOBUTHYLSMFZIQNJGDPKCERVWX	OCRVNFJZGXQYTPWHUDLEBAKSIM	LUERDYFCMNHIVSJKBWQAXTOZGP	JQCRAFZSXTEIPLHOWMYBDGNKUV	TJIVNBLRCQYSGFDZUWMAHXOPEK	GBOMISWEHTLUADKNCYJFZQXRVP	RXUGSNKJIQFVTPDZYCOLMWHEAB	MVSFKBRJZYCGONTIDWXAUELPHQ	HAKLYVBMUCEQXJRONPZFSDWGIT	ZBEGKPVCIWXQJYALFRSTMDHNOU	GEJKRXPMBCSQLZUWYINTHFODVA	WGDUAYLHBFNQPIEZSTVMCRJXOK	PCGHNSUQKXOVLJZDIBTFRMEAYW	GJYCSVAIERKXQLBTUFHNMPWOZD	XPZGQAWRULOFTKNBIHYSMJVCED	QYJXZCTAOIRLGDKWEHSFBMUNPV	NPUOYECXIWQMALZJHBFTKVSGDR	LINBAOYFMGWRQVCXKHTPZSJUDE	LXOYTKUPIGJDMZRVQFSACWEHNB	MZVTAKQYUNJHDBFRPXOGWECSIL	DKSGMXZOANTIFRVLCYQHBJUPWE	0
main	9 	Alex 	 oneCued 	 0.0 	 left 	 123.990430915 	N 	F 	0.0 	14 	0 	-4.0 	KGUJCEXVQNFAYLRWDITPOZSHMB	PCUSQXLZITYRVOWJFNEBDAKHGM	ZIHPSJCLARYMUDXQNFVGKBEOWT	KSUFBTYPLGNVWJHQEZCROXDAMI	XMANTWCKZJQRIYGPBUOVLSEFDH	UXTMDZWONIQFHBLSCYEGVAPKJR	JRBQUMGNWZIETSOYAKXFLPVHDC	ZTBXAKVMUGJHSFPCEDWIONLYQR	MSPYWFHJXBQDRNILTZGEUAKCOV	UTBSPXKQYEAJZDRGMLOHNIVWFC	ZGHSEOPTQADFJVWYRCXKIBMNLU	FCAPIWZLTNHSJVEQOMDYGURKXB	YXBHDGQRLOSWFPZEICJVMKTUNA	RFWCNXKHEMTSLOJAIUPVDYGBZQ	XMEKONCDLFWATRPSYGHZIUBQVJ	AYUHRETCDIZFOQXBMKJNVGPWLS	XGBWYZKCPALSFVQRTHJOIDUMEN	PFMXGWANOIQCBHYKRUJSZDLTEV	GXVDHLYFNKJZOEBISPWATMQRUC	MGQWUPFRSTKADVZOBJXLNYHIEC	ZKSXALDCROGEWTBVYQHIMPJNFU	0
