"exp"	"condition"	"error"	"ID"	"targetSP"	"fixationReject"	"button"
""	"twoStreams"	14	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	2	"AB14"	6	FALSE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	8	TRUE	0
""	"twoStreams"	1	"AB14"	7	TRUE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	2	"AB14"	10	FALSE	0
""	"twoStreams"	-5	"AB14"	10	FALSE	0
""	"twoStreams"	11	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	-1	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	9	TRUE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	8	TRUE	0
""	"twoStreams"	-1	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	10	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	7	TRUE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	-1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	9	TRUE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	13	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	-2	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	-9	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	-1	"AB14"	7	FALSE	0
""	"twoStreams"	3	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	9	TRUE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	-2	"AB14"	8	FALSE	0
""	"twoStreams"	14	"AB14"	6	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	6	TRUE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	1	"AB14"	10	TRUE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	-5	"AB14"	10	TRUE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	-3	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	-2	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	-4	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	-2	"AB14"	9	FALSE	0
""	"twoStreams"	17	"AB14"	6	TRUE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	6	FALSE	0
""	"twoStreams"	-2	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	-1	"AB14"	10	FALSE	0
""	"twoStreams"	2	"AB14"	6	TRUE	0
""	"twoStreams"	-9	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	1	"AB14"	6	FALSE	0
""	"twoStreams"	-1	"AB14"	9	FALSE	0
""	"twoStreams"	1	"AB14"	7	FALSE	0
""	"twoStreams"	1	"AB14"	8	FALSE	0
""	"twoStreams"	0	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	-1	"AB14"	10	FALSE	0
""	"twoStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	0	"AB14"	8	FALSE	0
""	"twoStreams"	1	"AB14"	9	FALSE	0
""	"twoStreams"	0	"AB14"	7	FALSE	0
""	"twoStreams"	-1	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	-1	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	8	TRUE	0
""	"eightStreams"	1	"AB14"	7	TRUE	0
""	"eightStreams"	1	"AB14"	10	TRUE	0
""	"eightStreams"	8	"AB14"	8	TRUE	0
""	"eightStreams"	0	"AB14"	8	TRUE	0
""	"eightStreams"	1	"AB14"	9	TRUE	0
