"","experimentPhase","trialnum","subject","task","noisePercent","targetLeftRightIfOne","resp0","answer0","correct0","whichStream0","whichRespCue0","responsePosRelative0","streamLtrSequence0","streamLtrSequence1","streamLtrSequence2","streamLtrSequence3","streamLtrSequence4","streamLtrSequence5","timingBlips","correctPos","responsePos","condition"
"1","main",20,"AH "," oneCued ",0," left ","U ","W ",0,2,0,5,"SGBETRVOHPFJWQKINZCYADMLUX","HRDUJCISYFVEWAGPTOMQKZXBLN","IEKORCAVWQLNXUJSTDYBHFMPZG","JRHPMQUWBKLOIYAGCXZTSVDEFN","HPDTKQJNCGUEMRBXVLYIWASFZO","VQZNBRLMKWCJXDAIYUPHGFETSO",0,8,13,"Endogenous"
"2","main",21,"AH "," oneCued ",0," right ","M ","J ",0,5,0,9,"QWHCYOMGTLPAUJVXDSNBREFZKI","NXUCYDZIEMRBJAGTOHFKPVWSLQ","NRIAXLKVWSPYDUQCETJMOBZHFG","AOUNLKZRXSGWEFJPDCQTYHMBVI","NFIASDZRWQYGKXUJVCBOPLETMH","IKGQOTYCEJLZBNXDRHMSVFPAWU",0,9,18,"Endogenous"
"3","main",22,"AH "," oneCued ",0," left ","R ","S ",0,5,0,5,"BDKOYJPGUEFLQSZWTVMINHACXR","PWQGHEYBZJCISFDUOXLATVMKNR","RLOBTDFMZNVIKYAGSXWQCHUEPJ","FJLNTHBAPKYVUSDEGORIXMQCZW","EJVPZRDUSBNGXMOYIFTLWAHCKQ","DKXEFVNPSJQYGRLHZMCIWUATOB",0,8,13,"Endogenous"
"4","main",23,"AH "," oneCued ",0," right ","G ","K ",0,1,0,4,"CZTFOJKHNSQPUEXDLBYMIWAGVR","PFWBMSNJKAQRGOTIXZEDLVCUHY","GJZHMFTSVPWDAIYBCQOXLUENRK","DVNPKQJCAWGYBETIZSUOHXRLMF","UHWTLMYRAPDFZVJEXBNIQCSGKO","APSTHJZREKBQCNVLYFGMOUXIDW",0,8,12,"Endogenous"
"5","main",24,"AH "," oneCued ",0," left ","W ","C ",0,2,0,4,"GAFRCHJKTOQMSXPZEIVBNLYDWU","RKHJUAFWMTVBGCSLXEPDYNOQZI","PJLVOBSCNFKWAUTHDMZXYEGQRI","LIWGXMCUQVADKONEHZJSTBRPFY","MUABYVWXDIPTLGHSZOCJERNQKF","BGPNXAZQFIEHJLVMRODUKSWTYC",0,7,11,"Endogenous"
"6","main",25,"AH "," oneCued ",0," right ","Y ","Q ",0,4,0,4,"QZOYDFBXJTVKEMIHSLPGCANWRU","TSHYGWZUEJBLXIAPNOKMCQDRVF","XUPYSCMZIKHDNERTJLQOFWGVBA","SBUFGZHQOEKJAPMIRYCWNTVXLD","AVJLUXTQNCIYGKZFMWBERODSHP","EOZHJKQVIGTXPSWBFDAMLYRNUC",0,7,11,"Endogenous"
"7","main",26,"AH "," oneCued ",0," left ","G ","Y ",0,2,0,4,"YHMJUKVOPEQRGTAWLBNXZFCSID","MVIRSCNPDKLYXFGQWEZTOBAUHJ","ZNUWJSYFAPGQXLHRIOMDKEVBCT","ZTGEFWISCHMAQNYOKPJBLUVRXD","SEJKMVIZYGTAQHRXDLFOPUBWNC","TLDNFOBWIPXZASMRJHEUQYCVKG",0,6,10,"Endogenous"
"8","main",27,"AH "," oneCued ",0," right ","E ","F ",0,4,0,4,"VZNMHOFQJSEAKGCBXLWUIDTPRY","HPZCIQMYSLGNXFTVBJDKAWROUE","UMBTLIJXHWPQCZDKYSGNFRVOAE","JBMXRVQPLTDFOZEUYWHIKSCANG","GBWLIUSFXDQEJKMCTZRVAOYHPN","KGTQMFAHXEOSZIWBYDRUPVLNCJ",0,7,11,"Endogenous"
"9","main",28,"AH "," oneCued ",0," right ","L ","S ",0,1,0,5,"HJYWRTOIVQAGMFXLBKPCENZSUD","FCMUDXSQTZELIKPNGRYHBWOJAV","KUFRDONBLCTMYXSEVWPIHJAQZG","GZUDAHVPOWCQXTNYKEJBRMLSFI","VPUJIMQKANRCTXOYGLBHZDSFEW","MFYCWOVSQJPGRTBLNEZXDKIUAH",0,6,11,"Endogenous"
"10","main",29,"AH "," oneCued ",0," right ","D ","F ",0,3,0,3,"EIMGYOJTAWFKLNHZCVXSURQDBP","HGJZXTPVWRMOECSUNDIYAQLKBF","ZHISQFOPBRMKYAJUDENCXWVTGL","KMGTNVBSIFLUDRCZWEAOJYHXPQ","XMPVBKYZROGFULJQSDWNTAEHCI","OJKNRUFGPBWCQXIVYDALTHZSME",0,9,12,"Endogenous"
