RECORDING_SESSION_LABEL	TRIAL_INDEX	TRIAL_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
EG11	1	Trial: 1	AFTER	512.00	383.40
EG11	1	Trial: 1	BEFORE	514.90	385.70
EG11	1	Trial: 1	NONE	458.50	425.00
EG11	1	Trial: 1	NONE	545.70	332.50
EG11	2	Trial: 2	AFTER	505.70	388.20
EG11	2	Trial: 2	BEFORE	530.40	407.10
EG11	2	Trial: 2	AFTER	517.70	396.10
EG11	2	Trial: 2	BEFORE	515.20	378.90
EG11	2	Trial: 2	NONE	440.30	384.10
EG11	3	Trial: 3	NONE	516.90	387.50
EG11	3	Trial: 3	NONE	499.50	364.70
EG11	3	Trial: 3	NONE	456.70	358.10
EG11	3	Trial: 3	NONE	458.30	429.80
EG11	4	Trial: 4	NONE	502.40	346.50
EG11	4	Trial: 4	NONE	520.20	376.90
EG11	4	Trial: 4	NONE	499.60	326.10
EG11	4	Trial: 4	NONE	499.60	423.50
EG11	4	Trial: 4	NONE	492.30	317.80
EG11	5	Trial: 5	AFTER	510.40	383.30
EG11	5	Trial: 5	BEFORE	515.40	377.30
EG11	5	Trial: 5	NONE	443.60	384.10
EG11	5	Trial: 5	NONE	588.70	375.80
EG11	6	Trial: 6	AFTER	510.80	389.30
EG11	6	Trial: 6	BEFORE	514.70	393.60
EG11	6	Trial: 6	NONE	509.40	391.60
EG11	6	Trial: 6	NONE	456.70	438.30
EG11	6	Trial: 6	NONE	697.50	397.30
EG11	7	Trial: 7	AFTER	507.90	390.20
EG11	7	Trial: 7	BEFORE	506.50	389.10
EG11	7	Trial: 7	NONE	488.80	395.40
EG11	7	Trial: 7	NONE	440.70	395.70
EG11	7	Trial: 7	NONE	579.00	385.30
EG11	8	Trial: 8	AFTER	509.90	379.00
EG11	8	Trial: 8	BEFORE	513.30	382.00
EG11	8	Trial: 8	NONE	509.30	447.60
EG11	9	Trial: 9	NONE	511.60	381.20
EG11	9	Trial: 9	NONE	511.80	337.10
EG11	9	Trial: 9	NONE	521.30	318.10
EG11	10	Trial: 10	NONE	507.60	387.30
EG11	10	Trial: 10	NONE	484.20	336.40
EG11	10	Trial: 10	NONE	495.40	458.40
EG11	11	Trial: 11	AFTER	513.80	385.50
EG11	11	Trial: 11	BEFORE	515.60	391.10
EG11	11	Trial: 11	NONE	479.50	358.50
EG11	11	Trial: 11	AFTER	451.30	342.40
EG11	11	Trial: 11	BEFORE	441.00	342.50
EG11	12	Trial: 12	NONE	514.20	382.90
EG11	12	Trial: 12	NONE	505.90	386.40
EG11	12	Trial: 12	NONE	467.20	354.60
EG11	12	Trial: 12	NONE	454.70	330.10
EG11	12	Trial: 12	NONE	829.80	372.10
EG11	13	Trial: 13	NONE	526.60	366.00
EG11	13	Trial: 13	NONE	514.10	369.80
EG11	13	Trial: 13	NONE	458.90	378.20
EG11	13	Trial: 13	NONE	574.20	385.10
EG11	14	Trial: 14	AFTER	512.10	377.20
EG11	14	Trial: 14	BEFORE	566.90	352.30
EG11	14	Trial: 14	NONE	513.30	381.60
EG11	14	Trial: 14	NONE	569.10	401.20
EG11	15	Trial: 15	NONE	518.50	386.20
EG11	15	Trial: 15	NONE	530.60	387.70
EG11	15	Trial: 15	NONE	528.80	374.40
EG11	15	Trial: 15	NONE	519.90	323.80
EG11	16	Trial: 16	AFTER	517.40	385.00
EG11	16	Trial: 16	BEFORE	529.70	386.30
EG11	16	Trial: 16	NONE	520.10	385.10
EG11	16	Trial: 16	NONE	562.60	434.60
EG11	17	Trial: 17	AFTER	521.80	383.00
EG11	17	Trial: 17	BEFORE	512.90	376.40
EG11	17	Trial: 17	NONE	527.70	376.50
EG11	17	Trial: 17	NONE	573.70	343.30
EG11	18	Trial: 18	AFTER	517.20	382.70
EG11	18	Trial: 18	BEFORE	511.60	363.00
EG11	18	Trial: 18	NONE	517.40	372.40
EG11	18	Trial: 18	NONE	478.20	349.40
EG11	18	Trial: 18	NONE	548.00	418.80
EG11	18	Trial: 18	NONE	575.90	425.70
EG11	19	Trial: 19	NONE	508.90	384.60
EG11	19	Trial: 19	NONE	465.80	342.00
EG11	19	Trial: 19	NONE	561.90	431.70
EG11	20	Trial: 20	AFTER	507.00	386.90
EG11	20	Trial: 20	BEFORE	515.10	393.00
EG11	20	Trial: 20	NONE	505.10	389.30
EG11	20	Trial: 20	NONE	443.50	380.80
EG11	20	Trial: 20	NONE	628.10	382.10
