RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_Y	CURRENT_FIX_X	CURRENT_FIX_START	CURRENT_FIX_END	TRIAL_INDEX	TRIAL_LABEL
EF6	NONE	388.10	508.40	7	2840	1	Trial: 1
EF6	AFTER	380.40	513.00	7	729	2	Trial: 2
EF6	BEFORE	375.30	520.90	924	2829	2	Trial: 2
EF6	AFTER	388.20	518.80	7	2172	3	Trial: 3
EF6	BEFORE	390.00	515.60	2360	2829	3	Trial: 3
EF6	NONE	369.50	511.00	213	2840	4	Trial: 4
EF6	NONE	384.80	511.60	7	2830	5	Trial: 5
EF6	NONE	389.40	509.10	7	307	6	Trial: 6
EF6	AFTER	373.30	504.60	318	1151	6	Trial: 6
EF6	BEFORE	378.50	506.50	1411	2837	6	Trial: 6
EF6	NONE	383.90	518.10	7	2835	7	Trial: 7
EF6	NONE	394.50	509.60	7	2839	8	Trial: 8
EF6	NONE	398.70	514.30	7	1564	9	Trial: 9
EF6	NONE	393.30	512.70	1582	2831	9	Trial: 9
EF6	NONE	395.00	511.30	7	2839	10	Trial: 10
EF6	NONE	391.00	511.50	7	2848	11	Trial: 11
EF6	NONE	392.90	521.30	7	2847	12	Trial: 12
EF6	NONE	378.80	510.90	7	2837	13	Trial: 13
EF6	NONE	393.50	517.30	7	993	14	Trial: 14
EF6	NONE	410.70	511.30	1003	2850	14	Trial: 14
EF6	NONE	352.50	542.90	7	2834	15	Trial: 15
EF6	NONE	384.00	510.70	7	2841	16	Trial: 16
EF6	AFTER	397.60	508.20	7	1322	17	Trial: 17
EF6	BEFORE	405.00	506.60	1551	2839	17	Trial: 17
EF6	AFTER	392.60	518.00	7	625	18	Trial: 18
EF6	BEFORE	389.40	525.10	842	1069	18	Trial: 18
EF6	NONE	387.10	526.50	1080	2831	18	Trial: 18
EF6	AFTER	384.30	512.50	7	1631	19	Trial: 19
EF6	BEFORE	373.90	512.90	1845	2830	19	Trial: 19
EF6	NONE	391.20	505.90	7	2829	20	Trial: 20
EF6	NONE	376.70	506.50	7	2834	21	Trial: 21
EF6	NONE	372.60	519.50	7	2843	22	Trial: 22
EF6	NONE	389.10	518.80	7	2830	23	Trial: 23
EF6	AFTER	389.00	505.10	7	1044	24	Trial: 24
EF6	BEFORE	383.20	507.60	1306	2830	24	Trial: 24
EF6	NONE	390.30	511.30	7	2261	25	Trial: 25
EF6	NONE	388.80	514.30	2270	2843	25	Trial: 25
EF6	NONE	372.00	513.90	7	2842	26	Trial: 26
EF6	AFTER	387.90	517.20	7	2372	27	Trial: 27
EF6	BEFORE	379.50	512.70	2618	2829	27	Trial: 27
EF6	NONE	384.90	510.90	7	2840	28	Trial: 28
EF6	NONE	378.30	513.90	7	2839	29	Trial: 29
EF6	NONE	382.80	510.80	7	1047	30	Trial: 30
EF6	NONE	388.90	509.60	1054	2830	30	Trial: 30
EF6	NONE	388.40	510.90	7	2841	31	Trial: 31
EF6	AFTER	385.50	520.20	7	1625	32	Trial: 32
EF6	BEFORE	385.80	516.40	1828	2850	32	Trial: 32
EF6	NONE	384.20	512.90	7	2830	33	Trial: 33
EF6	NONE	386.80	513.80	7	2830	34	Trial: 34
EF6	AFTER	384.10	507.40	7	939	35	Trial: 35
EF6	BEFORE	383.90	512.70	1224	2830	35	Trial: 35
EF6	NONE	385.00	514.80	7	2832	36	Trial: 36
EF6	NONE	386.90	513.30	7	516	37	Trial: 37
EF6	NONE	376.10	514.10	530	2841	37	Trial: 37
EF6	AFTER	388.60	514.90	7	2245	38	Trial: 38
EF6	BEFORE	376.90	514.60	2457	2829	38	Trial: 38
EF6	NONE	386.60	518.00	7	338	39	Trial: 39
EF6	NONE	386.80	511.60	345	2839	39	Trial: 39
EF6	NONE	385.10	508.80	7	2839	40	Trial: 40
EF6	NONE	383.00	512.30	7	2829	41	Trial: 41
EF6	AFTER	393.60	513.90	9	911	42	Trial: 42
