RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
JH6	NONE	564	7	503.40	386.40	1	Trial: 1
JH6	NONE	760	589	512.50	314.80	1	Trial: 1
JH6	NONE	2831	785	501.50	388.80	1	Trial: 1
JH6	NONE	2254	7	513.20	389.40	2	Trial: 2
JH6	NONE	2833	2275	550.10	421.50	2	Trial: 2
JH6	NONE	277	97	545.50	431.20	3	Trial: 3
JH6	NONE	1340	291	517.50	389.40	3	Trial: 3
JH6	NONE	2831	1347	513.60	398.40	3	Trial: 3
JH6	NONE	608	7	510.00	384.40	4	Trial: 4
JH6	NONE	1016	635	456.50	350.70	4	Trial: 4
JH6	NONE	2473	1042	510.50	389.10	4	Trial: 4
JH6	NONE	2666	2497	571.10	389.70	4	Trial: 4
JH6	NONE	2772	7	502.80	391.90	5	Trial: 5
JH6	NONE	2832	2794	498.10	358.60	5	Trial: 5
JH6	NONE	2306	7	503.40	382.50	6	Trial: 6
JH6	AFTER	2538	2331	554.50	333.50	6	Trial: 6
JH6	BEFORE	2837	2765	545.80	373.30	6	Trial: 6
JH6	NONE	2837	7	507.00	387.40	7	Trial: 7
JH6	AFTER	2552	7	509.20	391.10	8	Trial: 8
JH6	BEFORE	2836	2751	510.70	509.90	8	Trial: 8
JH6	NONE	862	153	514.00	390.80	9	Trial: 9
JH6	NONE	1077	879	548.60	381.30	9	Trial: 9
JH6	AFTER	1144	1094	520.20	380.80	9	Trial: 9
JH6	BEFORE	2542	1414	510.60	388.00	9	Trial: 9
JH6	NONE	2838	2567	445.10	375.50	9	Trial: 9
JH6	NONE	868	7	509.50	384.30	10	Trial: 10
JH6	NONE	1076	894	537.20	343.70	10	Trial: 10
JH6	NONE	2044	1097	508.90	392.60	10	Trial: 10
JH6	AFTER	2533	2069	552.20	348.70	10	Trial: 10
JH6	BEFORE	2836	2779	567.10	456.40	10	Trial: 10
JH6	NONE	368	7	512.10	381.20	11	Trial: 11
JH6	AFTER	576	375	503.10	383.70	11	Trial: 11
JH6	BEFORE	1985	823	511.50	386.10	11	Trial: 11
JH6	NONE	2570	2012	561.00	336.50	11	Trial: 11
JH6	NONE	251	7	497.40	382.40	12	Trial: 12
JH6	AFTER	811	269	525.20	408.20	12	Trial: 12
JH6	BEFORE	1212	1076	504.30	393.40	12	Trial: 12
JH6	NONE	2059	1226	509.70	401.80	12	Trial: 12
JH6	NONE	2707	2082	474.80	371.10	12	Trial: 12
JH6	NONE	433	7	517.80	387.50	13	Trial: 13
JH6	AFTER	674	459	507.20	320.60	13	Trial: 13
JH6	BOTH	1168	1054	515.50	404.40	13	Trial: 13
JH6	BEFORE	1645	1441	506.00	397.70	13	Trial: 13
JH6	NONE	1983	1659	515.10	367.30	13	Trial: 13
JH6	NONE	2838	2006	510.70	322.80	13	Trial: 13
JH6	NONE	545	326	515.20	433.40	14	Trial: 14
JH6	NONE	787	570	568.60	336.50	14	Trial: 14
JH6	NONE	1027	799	549.50	342.60	14	Trial: 14
JH6	NONE	1284	1041	528.70	363.40	14	Trial: 14
JH6	NONE	1442	1304	554.60	324.70	14	Trial: 14
JH6	NONE	1639	1462	510.10	350.90	14	Trial: 14
JH6	NONE	2631	1658	507.60	387.20	14	Trial: 14
JH6	NONE	2679	7	515.80	384.50	15	Trial: 15
JH6	NONE	2814	2701	559.70	337.10	15	Trial: 15
JH6	NONE	609	292	499.10	383.60	16	Trial: 16
JH6	NONE	787	620	511.50	364.80	16	Trial: 16
JH6	AFTER	928	795	504.60	372.70	16	Trial: 16
JH6	BOTH	1308	1247	501.30	426.50	16	Trial: 16
JH6	BEFORE	2361	1573	510.60	388.00	16	Trial: 16
JH6	NONE	2838	2382	542.90	409.10	16	Trial: 16
JH6	AFTER	891	7	505.40	382.70	17	Trial: 17
JH6	BEFORE	2838	1218	506.10	384.20	17	Trial: 17
JH6	NONE	525	351	488.10	397.50	18	Trial: 18
JH6	AFTER	789	532	500.90	368.50	18	Trial: 18
JH6	BEFORE	2275	1164	502.10	375.30	18	Trial: 18
JH6	NONE	2535	2299	436.80	373.60	18	Trial: 18
JH6	AFTER	53	7	513.30	385.60	19	Trial: 19
JH6	BEFORE	597	344	496.10	360.60	19	Trial: 19
JH6	AFTER	1192	607	509.20	373.00	19	Trial: 19
JH6	BEFORE	2420	1501	515.30	387.40	19	Trial: 19
JH6	NONE	2650	2441	475.00	337.20	19	Trial: 19
JH6	AFTER	417	7	509.40	383.50	20	Trial: 20
JH6	BEFORE	991	692	475.70	346.80	20	Trial: 20
JH6	AFTER	1096	1013	512.20	391.70	20	Trial: 20
JH6	BEFORE	2255	1428	508.60	383.90	20	Trial: 20
JH6	NONE	2548	2281	554.60	329.40	20	Trial: 20
JH6	NONE	483	7	512.90	380.30	21	Trial: 21
JH6	AFTER	557	490	511.30	371.90	21	Trial: 21
JH6	BEFORE	1082	838	547.50	350.60	21	Trial: 21
JH6	NONE	1367	1100	528.90	360.70	21	Trial: 21
JH6	NONE	1624	1384	551.70	344.10	21	Trial: 21
