RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
IT19	NONE	3803	7	507.40	386.80	1	Trial: 1
IT19	NONE	3795	7	509.10	385.10	2	Trial: 2
IT19	NONE	3792	7	511.60	381.00	3	Trial: 3
IT19	NONE	3792	7	513.10	384.50	4	Trial: 4
IT19	NONE	3268	7	511.50	379.10	5	Trial: 5
IT19	NONE	3737	3295	577.90	390.60	5	Trial: 5
IT19	NONE	3792	7	518.00	378.00	6	Trial: 6
IT19	NONE	3791	7	511.60	381.70	7	Trial: 7
IT19	NONE	604	7	518.00	381.70	8	Trial: 8
IT19	NONE	986	629	573.70	340.50	8	Trial: 8
IT19	NONE	1258	1014	492.00	394.50	8	Trial: 8
IT19	NONE	3801	1273	513.20	380.60	8	Trial: 8
IT19	NONE	3795	7	511.20	365.40	9	Trial: 9
IT19	NONE	3797	7	509.50	378.60	10	Trial: 10
IT19	NONE	880	7	509.00	386.50	11	Trial: 11
IT19	NONE	3791	887	511.40	378.60	11	Trial: 11
IT19	AFTER	660	7	512.10	386.30	12	Trial: 12
IT19	BEFORE	3791	903	511.10	377.90	12	Trial: 12
IT19	NONE	3592	7	517.90	388.40	13	Trial: 13
IT19	NONE	3795	3621	610.00	365.40	13	Trial: 13
IT19	NONE	696	7	511.10	384.80	14	Trial: 14
IT19	NONE	804	709	486.80	387.60	14	Trial: 14
IT19	NONE	3801	818	509.30	380.80	14	Trial: 14
IT19	NONE	561	7	514.00	388.10	15	Trial: 15
IT19	NONE	782	579	538.80	373.70	15	Trial: 15
IT19	NONE	989	804	489.50	396.60	15	Trial: 15
IT19	NONE	3310	998	508.50	390.70	15	Trial: 15
IT19	NONE	3794	3336	567.10	362.20	15	Trial: 15
IT19	NONE	3515	7	507.80	388.90	16	Trial: 16
IT19	NONE	3795	3540	564.70	403.80	16	Trial: 16
IT19	NONE	288	7	513.50	382.30	17	Trial: 17
IT19	NONE	422	312	559.20	355.90	17	Trial: 17
IT19	NONE	796	433	570.50	345.50	17	Trial: 17
IT19	NONE	1059	830	453.90	422.90	17	Trial: 17
IT19	NONE	3792	1084	514.70	379.90	17	Trial: 17
IT19	NONE	2981	7	513.10	389.00	18	Trial: 18
IT19	NONE	3263	3007	585.20	335.50	18	Trial: 18
IT19	NONE	3792	3272	571.70	323.30	18	Trial: 18
IT19	NONE	2996	7	509.00	391.00	19	Trial: 19
IT19	NONE	3684	3026	575.70	327.80	19	Trial: 19
IT19	NONE	3795	3711	636.70	376.00	19	Trial: 19
IT19	NONE	2861	7	515.90	390.10	20	Trial: 20
IT19	NONE	3057	2885	570.70	423.50	20	Trial: 20
IT19	NONE	3801	3065	570.50	433.50	20	Trial: 20
IT19	NONE	260	7	532.40	349.80	21	Trial: 21
IT19	NONE	3793	269	513.80	355.90	21	Trial: 21
IT19	NONE	2839	7	517.00	385.00	22	Trial: 22
IT19	NONE	3085	2862	463.70	345.30	22	Trial: 22
IT19	NONE	3554	3095	460.80	328.10	22	Trial: 22
IT19	NONE	3792	3592	588.50	367.80	22	Trial: 22
IT19	AFTER	3054	7	511.80	394.90	23	Trial: 23
IT19	BEFORE	3795	3293	486.00	342.00	23	Trial: 23
IT19	NONE	2881	7	517.30	377.40	24	Trial: 24
IT19	AFTER	3207	2902	524.40	413.40	24	Trial: 24
IT19	BEFORE	3791	3479	516.70	416.90	24	Trial: 24
IT19	NONE	340	7	511.90	387.60	25	Trial: 25
IT19	NONE	546	354	513.50	372.00	25	Trial: 25
IT19	NONE	800	564	515.20	335.80	25	Trial: 25
IT19	NONE	1059	832	515.40	434.50	25	Trial: 25
IT19	AFTER	3252	1071	516.80	394.70	25	Trial: 25
IT19	BEFORE	3792	3516	519.90	303.50	25	Trial: 25
IT19	NONE	3792	7	514.20	365.20	26	Trial: 26
IT19	NONE	1259	7	510.80	393.30	27	Trial: 27
IT19	NONE	1385	1275	535.00	387.30	27	Trial: 27
IT19	AFTER	1720	1399	508.40	387.10	27	Trial: 27
IT19	BEFORE	3799	1939	512.90	381.90	27	Trial: 27
IT19	NONE	2881	7	514.40	384.00	28	Trial: 28
IT19	AFTER	3308	2893	517.40	349.70	28	Trial: 28
IT19	BEFORE	3796	3590	536.50	339.20	28	Trial: 28
IT19	AFTER	3083	7	510.00	385.20	29	Trial: 29
IT19	BEFORE	3575	3368	506.10	358.50	29	Trial: 29
IT19	NONE	3798	3602	432.00	357.20	29	Trial: 29
IT19	NONE	2991	7	508.20	380.00	30	Trial: 30
IT19	AFTER	3198	3011	523.80	405.30	30	Trial: 30
IT19	BEFORE	3791	3445	501.30	366.50	30	Trial: 30
IT19	AFTER	3069	7	512.90	392.90	31	Trial: 31
IT19	BEFORE	3796	3369	518.80	374.30	31	Trial: 31
IT19	NONE	653	7	513.10	387.00	32	Trial: 32
IT19	NONE	1008	677	558.60	355.20	32	Trial: 32
IT19	NONE	1203	1036	497.60	401.20	32	Trial: 32
IT19	AFTER	3049	1212	510.90	389.00	32	Trial: 32
IT19	BEFORE	3544	3324	580.10	329.30	32	Trial: 32
IT19	NONE	3798	3555	560.60	328.00	32	Trial: 32
IT19	NONE	456	7	514.90	388.40	33	Trial: 33
IT19	NONE	661	472	511.60	372.00	33	Trial: 33
IT19	NONE	3606	674	511.30	389.20	33	Trial: 33
IT19	AFTER	3403	7	514.60	403.80	34	Trial: 34
IT19	BEFORE	3769	3678	547.90	341.10	34	Trial: 34
IT19	NONE	1197	7	512.00	387.40	35	Trial: 35
IT19	NONE	1285	1206	494.30	377.60	35	Trial: 35
IT19	NONE	1524	1302	519.90	378.60	35	Trial: 35
IT19	AFTER	3123	1533	505.50	364.20	35	Trial: 35
IT19	BEFORE	3798	3409	499.00	355.20	35	Trial: 35
IT19	NONE	3428	7	510.30	382.00	36	Trial: 36
IT19	NONE	3635	3449	548.20	378.60	36	Trial: 36
IT19	NONE	3792	3650	565.10	395.80	36	Trial: 36
IT19	NONE	256	7	515.10	310.80	37	Trial: 37
IT19	NONE	3799	263	522.80	319.40	37	Trial: 37
IT19	NONE	3792	7	510.60	387.80	38	Trial: 38
IT19	NONE	3054	7	503.60	380.70	39	Trial: 39
IT19	NONE	3227	3078	569.10	362.90	39	Trial: 39
IT19	NONE	3799	3238	582.40	368.20	39	Trial: 39
IT19	NONE	819	7	510.00	388.10	40	Trial: 40
IT19	NONE	1218	846	587.60	384.50	40	Trial: 40
IT19	NONE	1379	1238	545.20	378.30	40	Trial: 40
IT19	NONE	3152	1395	511.80	379.20	40	Trial: 40
IT19	NONE	3796	3177	580.80	365.50	40	Trial: 40
IT19	NONE	3793	7	510.70	384.40	41	Trial: 41
IT19	NONE	3792	7	515.10	378.30	42	Trial: 42
IT19	NONE	3800	7	509.70	391.10	43	Trial: 43
IT19	NONE	657	7	507.30	388.80	44	Trial: 44
IT19	NONE	742	668	520.80	397.10	44	Trial: 44
IT19	NONE	873	759	488.50	400.00	44	Trial: 44
IT19	NONE	3795	881	506.10	394.10	44	Trial: 44
IT19	NONE	1142	7	511.60	381.80	45	Trial: 45
IT19	NONE	1328	1154	528.70	365.50	45	Trial: 45
IT19	NONE	3798	1337	512.80	368.50	45	Trial: 45
IT19	AFTER	785	7	507.80	386.80	46	Trial: 46
IT19	BOTH	2890	993	504.30	395.00	46	Trial: 46
IT19	BEFORE	3800	3169	507.00	382.40	46	Trial: 46
IT19	NONE	1177	7	509.20	389.00	47	Trial: 47
IT19	NONE	1297	1188	496.60	384.70	47	Trial: 47
IT19	AFTER	2978	1307	513.10	386.90	47	Trial: 47
IT19	BEFORE	3531	3251	532.10	434.80	47	Trial: 47
IT19	NONE	3792	3553	509.00	392.30	47	Trial: 47
IT19	AFTER	2690	7	508.90	386.20	48	Trial: 48
IT19	BEFORE	3791	2922	515.90	382.30	48	Trial: 48
IT19	AFTER	3304	7	517.70	375.10	49	Trial: 49
IT19	BEFORE	3793	3593	509.50	366.00	49	Trial: 49
IT19	AFTER	314	7	509.70	388.70	50	Trial: 50
IT19	BEFORE	1251	576	506.00	397.60	50	Trial: 50
IT19	NONE	1321	1260	491.30	389.00	50	Trial: 50
IT19	NONE	1446	1341	525.10	389.80	50	Trial: 50
IT19	AFTER	3018	1456	503.30	374.80	50	Trial: 50
IT19	BEFORE	3800	3296	507.30	355.40	50	Trial: 50
IT19	AFTER	1084	7	508.90	386.20	51	Trial: 51
IT19	BEFORE	3753	1306	505.50	387.50	51	Trial: 51
IT19	AFTER	1314	7	513.00	388.90	52	Trial: 52
IT19	BEFORE	1818	1564	516.30	391.60	52	Trial: 52
IT19	NONE	2316	1826	501.20	383.20	52	Trial: 52
IT19	NONE	3468	2324	512.60	374.00	52	Trial: 52
IT19	NONE	3797	3494	573.00	325.70	52	Trial: 52
IT19	AFTER	1302	7	509.50	385.90	53	Trial: 53
IT19	BOTH	2916	1536	509.90	384.30	53	Trial: 53
IT19	BEFORE	3792	3216	593.20	371.30	53	Trial: 53
IT19	NONE	373	7	503.70	382.70	54	Trial: 54
IT19	NONE	501	381	493.30	378.60	54	Trial: 54
IT19	AFTER	3273	509	503.80	394.00	54	Trial: 54
IT19	BEFORE	3801	3583	503.30	378.80	54	Trial: 54
IT19	AFTER	863	226	506.50	381.10	55	Trial: 55
IT19	BEFORE	3536	1097	501.60	380.20	55	Trial: 55
IT19	AFTER	3302	7	504.40	379.90	56	Trial: 56
IT19	BEFORE	3593	3567	551.40	346.40	56	Trial: 56
IT19	NONE	3772	3606	537.60	354.30	56	Trial: 56
IT19	NONE	1251	7	510.30	385.10	57	Trial: 57
IT19	NONE	1370	1266	482.90	375.90	57	Trial: 57
IT19	AFTER	2991	1388	511.10	378.90	57	Trial: 57
IT19	BEFORE	3467	3326	537.00	370.70	57	Trial: 57
IT19	NONE	3728	3487	497.00	369.00	57	Trial: 57
IT19	NONE	3799	3740	512.90	376.30	57	Trial: 57
IT19	AFTER	3241	7	504.00	387.60	58	Trial: 58
IT19	BEFORE	3638	3541	573.60	361.40	58	Trial: 58
IT19	NONE	3801	3652	586.20	366.20	58	Trial: 58
IT19	NONE	3583	7	507.60	377.00	59	Trial: 59
IT19	NONE	3158	7	512.60	387.90	60	Trial: 60
IT19	AFTER	3305	3169	527.60	375.80	60	Trial: 60
IT19	BEFORE	3792	3613	520.70	381.00	60	Trial: 60
IT19	NONE	3799	7	515.30	391.00	61	Trial: 61
IT19	NONE	1183	7	509.70	386.50	62	Trial: 62
IT19	NONE	1276	1194	490.20	386.60	62	Trial: 62
IT19	NONE	1487	1295	514.80	386.20	62	Trial: 62
