RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_Y	CURRENT_FIX_X	CURRENT_FIX_START	CURRENT_FIX_END	TRIAL_INDEX	TRIAL_LABEL
HT5	NONE	346.40	536.70	7	237	1	Trial: 1
HT5	NONE	373.40	502.00	258	2493	1	Trial: 1
HT5	NONE	373.60	509.60	2502	2827	1	Trial: 1
HT5	NONE	386.80	513.90	7	2770	2	Trial: 2
HT5	NONE	398.60	542.30	2788	2836	2	Trial: 2
HT5	NONE	383.40	509.20	7	2839	3	Trial: 3
HT5	NONE	377.90	518.00	7	2841	4	Trial: 4
HT5	NONE	382.80	518.80	7	2840	5	Trial: 5
HT5	NONE	381.50	516.60	7	2830	6	Trial: 6
HT5	NONE	380.80	518.20	7	1507	7	Trial: 7
HT5	NONE	377.50	528.40	1519	2830	7	Trial: 7
HT5	NONE	384.90	508.60	7	2434	8	Trial: 8
HT5	NONE	352.00	476.00	2457	2830	8	Trial: 8
HT5	NONE	389.70	516.50	7	2840	9	Trial: 9
HT5	NONE	385.40	515.90	7	2829	10	Trial: 10
HT5	NONE	377.90	519.00	7	2829	11	Trial: 11
HT5	NONE	396.50	512.10	7	2840	12	Trial: 12
HT5	NONE	386.20	513.90	7	1542	13	Trial: 13
HT5	NONE	387.20	517.40	1550	2829	13	Trial: 13
HT5	NONE	388.10	515.60	7	2830	14	Trial: 14
HT5	NONE	380.30	503.20	7	735	15	Trial: 15
HT5	NONE	380.10	505.50	754	2835	15	Trial: 15
HT5	NONE	378.50	499.20	7	2826	16	Trial: 16
HT5	NONE	385.90	511.70	7	2840	17	Trial: 17
HT5	NONE	391.80	508.00	7	1359	18	Trial: 18
HT5	NONE	394.80	510.10	1376	2821	18	Trial: 18
HT5	NONE	389.00	509.80	7	2830	19	Trial: 19
HT5	NONE	383.50	512.90	7	1482	20	Trial: 20
HT5	NONE	382.30	511.20	1489	2821	20	Trial: 20
HT5	NONE	389.60	498.80	7	269	21	Trial: 21
HT5	NONE	400.90	511.20	281	2825	21	Trial: 21
HT5	NONE	384.20	515.00	7	2840	22	Trial: 22
HT5	NONE	384.90	516.20	7	2840	23	Trial: 23
HT5	NONE	385.20	516.70	7	2828	24	Trial: 24
HT5	NONE	381.20	512.80	7	2840	25	Trial: 25
HT5	NONE	389.50	517.30	7	2828	26	Trial: 26
HT5	NONE	384.70	514.10	7	2831	27	Trial: 27
HT5	NONE	396.00	506.40	7	2840	28	Trial: 28
HT5	NONE	385.90	508.80	7	2840	29	Trial: 29
HT5	NONE	389.20	513.30	7	310	30	Trial: 30
HT5	NONE	392.10	565.00	335	605	30	Trial: 30
HT5	NONE	379.90	508.50	632	2830	30	Trial: 30
HT5	NONE	383.70	512.60	7	827	31	Trial: 31
HT5	NONE	388.90	514.60	844	2835	31	Trial: 31
HT5	AFTER	384.40	512.70	7	379	32	Trial: 32
HT5	BEFORE	377.60	514.90	663	2726	32	Trial: 32
HT5	NONE	382.30	522.60	2733	2833	32	Trial: 32
HT5	NONE	383.50	515.10	7	2830	33	Trial: 33
HT5	NONE	383.70	516.10	7	1609	34	Trial: 34
HT5	NONE	376.50	518.10	1631	2840	34	Trial: 34
HT5	NONE	378.90	515.40	7	445	35	Trial: 35
HT5	NONE	365.10	514.20	470	623	35	Trial: 35
HT5	NONE	380.70	519.80	636	2827	35	Trial: 35
HT5	NONE	388.30	513.10	7	2040	36	Trial: 36
HT5	NONE	393.00	470.30	2073	2320	36	Trial: 36
HT5	NONE	394.80	502.90	2342	2840	36	Trial: 36
HT5	NONE	386.00	523.80	7	2830	37	Trial: 37
HT5	NONE	385.60	513.00	7	2832	38	Trial: 38
HT5	NONE	381.60	511.40	7	2824	39	Trial: 39
HT5	NONE	382.30	513.50	7	628	40	Trial: 40
HT5	NONE	380.50	516.70	635	2840	40	Trial: 40
HT5	NONE	380.60	523.00	7	2827	41	Trial: 41
HT5	NONE	378.80	512.30	7	1277	42	Trial: 42
HT5	NONE	381.90	521.20	1284	1609	42	Trial: 42
HT5	NONE	384.20	515.00	1628	2834	42	Trial: 42
HT5	NONE	392.60	515.20	7	1224	43	Trial: 43
HT5	NONE	378.20	514.30	1231	2840	43	Trial: 43
HT5	AFTER	381.40	513.00	7	362	44	Trial: 44
HT5	BEFORE	383.60	521.30	577	2830	44	Trial: 44
HT5	NONE	386.20	513.50	7	307	45	Trial: 45
HT5	NONE	386.30	530.80	323	483	45	Trial: 45
HT5	NONE	384.20	514.00	501	2839	45	Trial: 45
HT5	NONE	388.10	509.00	7	2513	46	Trial: 46
HT5	NONE	389.50	505.60	2528	2840	46	Trial: 46
HT5	NONE	382.20	506.70	7	2840	47	Trial: 47
HT5	NONE	384.30	512.50	7	2840	48	Trial: 48
HT5	NONE	370.10	523.60	7	2838	49	Trial: 49
HT5	NONE	384.70	519.90	7	2451	50	Trial: 50
HT5	NONE	386.30	550.90	2468	2840	50	Trial: 50
HT5	NONE	393.10	516.90	7	2839	51	Trial: 51
HT5	NONE	381.00	515.80	7	2838	52	Trial: 52
HT5	NONE	385.70	509.70	7	2829	53	Trial: 53
HT5	AFTER	373.70	509.40	7	289	54	Trial: 54
HT5	BEFORE	376.90	517.20	452	2829	54	Trial: 54
HT5	NONE	386.90	510.90	7	2834	55	Trial: 55
HT5	NONE	389.60	512.90	7	325	56	Trial: 56
HT5	NONE	385.80	519.70	336	2830	56	Trial: 56
HT5	NONE	380.90	528.00	7	2827	57	Trial: 57
HT5	NONE	388.80	515.80	7	2833	58	Trial: 58
HT5	NONE	384.60	513.20	7	703	59	Trial: 59
HT5	NONE	387.60	512.00	714	2833	59	Trial: 59
HT5	NONE	384.70	511.40	7	2822	60	Trial: 60
HT5	NONE	386.10	520.30	7	2839	61	Trial: 61
HT5	NONE	383.60	516.50	7	2830	62	Trial: 62
HT5	NONE	384.00	514.00	7	2834	63	Trial: 63
HT5	NONE	380.50	516.20	7	255	64	Trial: 64
HT5	NONE	348.70	478.30	281	462	64	Trial: 64
HT5	NONE	382.50	519.30	487	1504	64	Trial: 64
HT5	NONE	387.30	519.10	1511	2841	64	Trial: 64
HT5	NONE	381.30	515.60	7	2830	65	Trial: 65
HT5	NONE	387.60	512.00	7	279	66	Trial: 66
HT5	NONE	335.10	516.70	308	513	66	Trial: 66
HT5	NONE	382.90	519.80	541	2828	66	Trial: 66
HT5	NONE	386.50	513.90	7	2616	67	Trial: 67
HT5	NONE	387.10	524.10	2633	2822	67	Trial: 67
HT5	NONE	377.70	513.60	7	1502	68	Trial: 68
HT5	NONE	382.40	507.50	1523	2830	68	Trial: 68
HT5	NONE	388.00	509.60	7	1746	69	Trial: 69
HT5	NONE	388.50	509.90	1766	2831	69	Trial: 69
HT5	NONE	384.70	513.20	7	2828	70	Trial: 70
HT5	NONE	381.20	523.30	7	2826	71	Trial: 71
HT5	NONE	386.80	511.40	7	776	72	Trial: 72
HT5	NONE	389.50	505.80	797	2829	72	Trial: 72
HT5	NONE	386.80	510.70	7	2830	73	Trial: 73
HT5	NONE	383.40	522.10	7	1796	74	Trial: 74
HT5	NONE	385.00	530.00	1816	2171	74	Trial: 74
HT5	NONE	393.10	527.20	2190	2829	74	Trial: 74
HT5	NONE	382.40	511.50	7	579	75	Trial: 75
HT5	NONE	378.20	507.90	601	2826	75	Trial: 75
HT5	NONE	384.80	512.70	7	1249	76	Trial: 76
HT5	NONE	390.10	501.10	1256	2830	76	Trial: 76
HT5	NONE	387.80	506.40	7	2840	77	Trial: 77
HT5	NONE	382.20	531.70	7	2826	78	Trial: 78
HT5	NONE	376.80	505.40	7	2839	79	Trial: 79
HT5	NONE	387.40	510.40	7	35	80	Trial: 80
HT5	NONE	390.40	502.80	52	2839	80	Trial: 80
HT5	NONE	381.80	510.90	7	2829	81	Trial: 81
HT5	NONE	384.90	504.10	7	2832	82	Trial: 82
HT5	NONE	392.70	511.40	7	1485	83	Trial: 83
HT5	NONE	394.40	517.20	1493	2830	83	Trial: 83
HT5	NONE	380.60	525.10	7	2840	84	Trial: 84
HT5	NONE	383.50	512.30	7	420	85	Trial: 85
HT5	NONE	387.30	507.40	447	1319	85	Trial: 85
HT5	NONE	383.40	500.60	1339	1665	85	Trial: 85
HT5	NONE	385.20	496.70	1682	2839	85	Trial: 85
HT5	NONE	386.20	511.10	7	2841	86	Trial: 86
HT5	NONE	386.00	536.60	7	2839	87	Trial: 87
HT5	NONE	383.70	510.50	7	259	88	Trial: 88
HT5	NONE	388.10	460.60	294	637	88	Trial: 88
HT5	NONE	382.90	501.10	663	1083	88	Trial: 88
HT5	NONE	377.50	518.50	1100	2833	88	Trial: 88
