RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
JF17	NONE	1371	7	502.80	388.80	1	Trial: 1
JF17	AFTER	3182	1385	491.90	365.90	1	Trial: 1
JF17	BEFORE	3796	3348	494.00	369.10	1	Trial: 1
JF17	NONE	567	7	510.80	388.70	2	Trial: 2
JF17	NONE	1749	590	502.70	392.70	2	Trial: 2
JF17	AFTER	1786	1767	494.00	365.70	2	Trial: 2
JF17	BEFORE	3793	1980	490.20	365.90	2	Trial: 2
JF17	AFTER	1159	7	510.90	384.30	3	Trial: 3
JF17	BEFORE	1524	1369	515.70	418.90	3	Trial: 3
JF17	NONE	3793	1551	504.80	365.10	3	Trial: 3
JF17	NONE	273	7	512.60	384.90	4	Trial: 4
JF17	NONE	598	302	579.50	382.80	4	Trial: 4
JF17	AFTER	763	639	479.80	392.10	4	Trial: 4
JF17	BEFORE	1307	984	512.10	408.10	4	Trial: 4
JF17	NONE	3796	1337	509.20	379.90	4	Trial: 4
JF17	NONE	1676	7	509.30	386.90	5	Trial: 5
JF17	NONE	3792	1686	506.00	372.40	5	Trial: 5
JF17	AFTER	792	7	510.80	385.20	6	Trial: 6
JF17	BEFORE	1190	983	517.80	494.20	6	Trial: 6
JF17	NONE	3794	1205	501.70	382.20	6	Trial: 6
JF17	NONE	513	7	511.40	384.40	7	Trial: 7
JF17	NONE	721	532	516.50	385.50	7	Trial: 7
JF17	NONE	1081	742	498.60	369.70	7	Trial: 7
JF17	AFTER	1150	1102	497.30	370.50	7	Trial: 7
JF17	BEFORE	1653	1395	495.60	455.30	7	Trial: 7
JF17	NONE	3804	1674	499.10	381.80	7	Trial: 7
JF17	NONE	630	7	511.20	372.50	8	Trial: 8
JF17	NONE	1127	652	506.40	361.80	8	Trial: 8
JF17	AFTER	1495	1134	502.80	355.10	8	Trial: 8
JF17	BEFORE	3801	1694	508.30	346.40	8	Trial: 8
JF17	AFTER	411	7	513.30	390.30	9	Trial: 9
JF17	BEFORE	3793	637	504.30	382.10	9	Trial: 9
JF17	NONE	282	7	510.60	387.30	10	Trial: 10
JF17	AFTER	424	296	519.30	386.00	10	Trial: 10
JF17	BEFORE	846	647	521.60	413.10	10	Trial: 10
JF17	NONE	3519	877	513.30	384.40	10	Trial: 10
JF17	NONE	3792	3531	510.70	366.60	10	Trial: 10
JF17	NONE	272	7	510.70	384.70	11	Trial: 11
JF17	AFTER	425	293	516.50	371.70	11	Trial: 11
JF17	BEFORE	1197	633	513.80	407.10	11	Trial: 11
JF17	NONE	1838	1204	512.10	381.20	11	Trial: 11
JF17	NONE	3799	1866	508.20	375.10	11	Trial: 11
JF17	NONE	348	7	516.60	385.90	12	Trial: 12
JF17	AFTER	488	364	515.20	386.00	12	Trial: 12
JF17	BOTH	3062	683	508.90	389.00	12	Trial: 12
JF17	BEFORE	3519	3295	489.80	428.80	12	Trial: 12
JF17	NONE	3791	3552	512.80	434.20	12	Trial: 12
JF17	NONE	442	165	513.10	392.30	13	Trial: 13
JF17	NONE	3225	452	509.90	382.10	13	Trial: 13
JF17	AFTER	3399	3244	502.40	357.30	13	Trial: 13
JF17	BEFORE	3792	3663	518.00	494.60	13	Trial: 13
JF17	NONE	282	7	509.90	380.60	14	Trial: 14
JF17	AFTER	402	302	518.30	382.40	14	Trial: 14
JF17	BEFORE	1074	593	510.50	420.70	14	Trial: 14
JF17	AFTER	1336	1093	505.10	389.70	14	Trial: 14
JF17	BEFORE	1821	1589	517.20	489.20	14	Trial: 14
JF17	AFTER	3170	1837	514.40	389.80	14	Trial: 14
JF17	BEFORE	3792	3364	550.80	419.50	14	Trial: 14
JF17	AFTER	173	7	510.50	369.70	15	Trial: 15
JF17	BOTH	1084	387	514.90	354.80	15	Trial: 15
JF17	BEFORE	1453	1264	523.10	431.40	15	Trial: 15
