RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
AB14	NONE	3800	3482	534.9	371.7	120	Trial: 120
AB14	AFTER	550	7	513.1	376.7	121	Trial: 121
AB14	BEFORE	3792	765	516.7	381.9	121	Trial: 121
AB14	NONE	3385	7	515.7	386.4	122	Trial: 122
AB14	NONE	3793	3396	522.7	380	122	Trial: 122
AB14	NONE	3794	7	509.2	391.2	123	Trial: 123
AB14	NONE	3792	7	503.1	388.7	124	Trial: 124
AB14	NONE	760	7	516.6	388.6	125	Trial: 125
AB14	NONE	1594	768	515	382.8	125	Trial: 125
AB14	NONE	3301	1611	504.9	374.2	125	Trial: 125
AB14	NONE	3591	3316	519.6	376.3	125	Trial: 125
AB14	NONE	3775	3610	496.1	371.7	125	Trial: 125
AB14	NONE	3802	7	513	391.5	126	Trial: 126
AB14	NONE	3165	7	506.3	387.9	127	Trial: 127
AB14	NONE	3374	3177	517.1	389.9	127	Trial: 127
AB14	NONE	3792	3386	507.3	393.1	127	Trial: 127
AB14	NONE	3700	7	515.7	390.3	128	Trial: 128
AB14	NONE	3802	3711	554	393	128	Trial: 128
AB14	NONE	2030	7	513.1	384.3	129	Trial: 129
AB14	AFTER	2694	2055	478.9	342.9	129	Trial: 129
AB14	BEFORE	3215	3050	523.5	372.5	129	Trial: 129
AB14	NONE	3792	3226	511.5	380.5	129	Trial: 129
AB14	NONE	3792	7	514.8	388.4	130	Trial: 130
AB14	NONE	3802	7	511.9	394.6	131	Trial: 131
AB14	NONE	1827	7	512.7	380	132	Trial: 132
AB14	NONE	3794	1836	517.1	380	132	Trial: 132
AB14	NONE	3797	7	515.3	393.2	133	Trial: 133
AB14	NONE	1493	7	512	383.3	134	Trial: 134
AB14	NONE	3792	1500	518.1	388.8	134	Trial: 134
AB14	NONE	2068	7	510.8	380.3	135	Trial: 135
AB14	NONE	2282	2079	529.3	375.2	135	Trial: 135
AB14	NONE	3793	2297	509	378.3	135	Trial: 135
AB14	NONE	3797	7	514.9	388.9	136	Trial: 136
AB14	NONE	3792	7	509.2	385	137	Trial: 137
AB14	NONE	3647	7	518.7	390.2	138	Trial: 138
AB14	NONE	3793	3672	445.9	386.8	138	Trial: 138
AB14	NONE	3650	7	512.7	389	139	Trial: 139
AB14	NONE	3792	3659	498.3	407.8	139	Trial: 139
AB14	NONE	3791	7	505.1	394.9	140	Trial: 140
AB14	NONE	605	7	511.8	385.3	141	Trial: 141
AB14	NONE	3693	615	508.5	384.7	141	Trial: 141
AB14	NONE	3795	3711	542.7	369.6	141	Trial: 141
AB14	NONE	374	7	510.5	382.3	142	Trial: 142
AB14	NONE	3791	382	504.8	368.1	142	Trial: 142
AB14	NONE	3794	7	508	388.5	143	Trial: 143
AB14	NONE	3796	7	512.7	383.9	144	Trial: 144
AB14	NONE	3793	7	503.1	396.9	145	Trial: 145
AB14	NONE	3423	7	516.3	382.2	146	Trial: 146
AB14	NONE	3792	3435	551.2	388	146	Trial: 146
AB14	NONE	689	7	510.4	393.5	147	Trial: 147
AB14	NONE	3336	697	508.3	400.4	147	Trial: 147
AB14	NONE	3469	3347	513.5	399.3	147	Trial: 147
AB14	NONE	3603	3482	495.3	399.6	147	Trial: 147
AB14	NONE	3639	3615	473.6	404	147	Trial: 147
AB14	AFTER	3093	7	500.6	387.2	148	Trial: 148
AB14	BEFORE	3521	3387	513.8	370.5	148	Trial: 148
AB14	NONE	3792	3531	505.6	383.8	148	Trial: 148
AB14	NONE	423	7	501.8	379.3	149	Trial: 149
AB14	NONE	3797	431	503.7	378.9	149	Trial: 149
AB14	NONE	3792	7	509.2	382.4	150	Trial: 150
AB14	AFTER	579	7	504.4	389	151	Trial: 151
AB14	BOTH	2981	770	502.2	386.8	151	Trial: 151
AB14	BEFORE	3802	3212	507.1	400	151	Trial: 151
AB14	AFTER	2896	7	517.9	371.4	152	Trial: 152
AB14	BEFORE	3802	3552	537.3	330.4	152	Trial: 152
AB14	NONE	3801	7	518.1	378.3	153	Trial: 153
AB14	NONE	3811	7	512.3	382.7	154	Trial: 154
AB14	NONE	3800	7	514.7	398	155	Trial: 155
AB14	NONE	3793	7	519.8	396.1	156	Trial: 156
AB14	NONE	1545	7	514.7	389.9	157	Trial: 157
AB14	NONE	3799	1560	514.7	387.5	157	Trial: 157
AB14	NONE	3795	7	510	384.5	158	Trial: 158
AB14	NONE	3792	7	507.7	393.8	159	Trial: 159
AB14	NONE	3792	7	511.6	391.6	160	Trial: 160
AB14	NONE	2966	7	513.6	387.3	161	Trial: 161
AB14	NONE	3801	2978	511.3	379.5	161	Trial: 161
AB14	NONE	3792	7	501.6	383.7	162	Trial: 162
AB14	AFTER	640	7	509	382.8	163	Trial: 163
AB14	BEFORE	1800	811	515.3	382.4	163	Trial: 163
AB14	NONE	3250	1810	512.5	382.1	163	Trial: 163
AB14	NONE	3765	3264	496	380.7	163	Trial: 163
AB14	NONE	3183	7	518	396.6	164	Trial: 164
AB14	NONE	3792	3193	521	399	164	Trial: 164
AB14	NONE	3792	7	512.1	382.8	165	Trial: 165
AB14	NONE	3801	7	517.6	401.5	166	Trial: 166
AB14	AFTER	509	7	518.8	387.9	167	Trial: 167
AB14	BEFORE	3810	718	524.4	383.4	167	Trial: 167
AB14	NONE	3804	7	530.3	391.3	168	Trial: 168
AB14	NONE	3792	7	515.4	392.4	169	Trial: 169
AB14	NONE	3482	7	521.5	385.1	170	Trial: 170
AB14	NONE	3568	7	505.9	379.1	171	Trial: 171
AB14	NONE	3801	3577	510.8	377.6	171	Trial: 171
AB14	AFTER	521	7	513.4	384.2	172	Trial: 172
AB14	BEFORE	3794	736	520.4	394.4	172	Trial: 172
AB14	NONE	3809	7	507.8	378.3	173	Trial: 173
AB14	NONE	3546	7	510.1	391.8	174	Trial: 174
AB14	NONE	3791	3557	519.7	388.2	174	Trial: 174
AB14	NONE	1695	7	512.5	399.9	175	Trial: 175
AB14	NONE	3792	1704	512	401.7	175	Trial: 175
AB14	NONE	263	7	484.6	374	176	Trial: 176
AB14	NONE	3804	273	493.7	385.6	176	Trial: 176
AB14	NONE	3804	7	505.2	384.7	177	Trial: 177
AB14	NONE	3792	7	513.3	391.5	178	Trial: 178
AB14	NONE	3802	7	525.9	394.6	179	Trial: 179
AB14	NONE	3809	7	497.2	386	180	Trial: 180
AB14	NONE	1636	7	512.1	388.5	181	Trial: 181
AB14	NONE	3803	1647	508.2	376.2	181	Trial: 181
AB14	NONE	987	7	514.3	390.3	182	Trial: 182
AB14	NONE	3260	994	514.1	405.9	182	Trial: 182
AB14	NONE	3811	3451	513.6	424.6	182	Trial: 182
AB14	NONE	3794	7	504.3	390.4	183	Trial: 183
AB14	NONE	3802	7	510	396	184	Trial: 184
AB14	NONE	2031	7	514.1	380.9	185	Trial: 185
AB14	NONE	3800	2039	513	397.1	185	Trial: 185
AB14	NONE	3795	7	512.7	386.7	186	Trial: 186
AB14	NONE	1553	7	503.4	380.9	187	Trial: 187
AB14	NONE	3294	1561	501.2	388.5	187	Trial: 187
AB14	NONE	3800	3306	504.5	391.9	187	Trial: 187
AB14	NONE	3792	7	521.3	413.1	188	Trial: 188
AB14	NONE	1388	7	512.4	399.6	189	Trial: 189
AB14	NONE	1500	1401	503.1	391.4	189	Trial: 189
AB14	NONE	1860	1510	512	387.2	189	Trial: 189
AB14	NONE	3171	1869	509.6	389	189	Trial: 189
AB14	NONE	3792	3181	514	386	189	Trial: 189
AB14	NONE	1765	7	507.5	389.5	190	Trial: 190
AB14	NONE	3792	1775	510.1	383.6	190	Trial: 190
AB14	NONE	629	7	513.9	395.9	191	Trial: 191
AB14	NONE	3143	640	505.5	388.2	191	Trial: 191
AB14	NONE	3473	3154	517.9	394	191	Trial: 191
AB14	NONE	3809	3486	546.3	392.1	191	Trial: 191
AB14	NONE	3187	7	511.7	383.2	192	Trial: 192
AB14	NONE	3801	3197	511.4	420.9	192	Trial: 192
AB14	NONE	3794	7	513	393.4	193	Trial: 193
AB14	NONE	3369	7	515.4	382	194	Trial: 194
AB14	NONE	3603	3380	513.1	370.8	194	Trial: 194
AB14	NONE	3792	3623	530.2	379.3	194	Trial: 194
AB14	NONE	3794	7	519.4	389	195	Trial: 195
AB14	NONE	2924	7	508.2	404.2	196	Trial: 196
AB14	NONE	3123	2931	511.1	407.9	196	Trial: 196
AB14	NONE	3792	3135	506.3	411.7	196	Trial: 196
AB14	NONE	3203	7	499.4	389.1	197	Trial: 197
AB14	NONE	3795	3213	502.4	391.5	197	Trial: 197
AB14	NONE	3802	7	508.9	386.9	198	Trial: 198
AB14	NONE	3802	7	521.7	384.2	199	Trial: 199
AB14	NONE	718	7	499.7	389.2	200	Trial: 200
AB14	NONE	1042	729	507.1	396.5	200	Trial: 200
AB14	NONE	1825	1051	508.7	386.4	200	Trial: 200
AB14	NONE	1947	1835	499.5	391.5	200	Trial: 200
AB14	NONE	3126	1958	504.8	389.6	200	Trial: 200
AB14	NONE	3802	3135	514.1	396.8	200	Trial: 200
AB14	NONE	3798	7	514.5	390.5	201	Trial: 201
AB14	NONE	1528	7	514	394.1	202	Trial: 202
AB14	NONE	3802	1539	510	393.3	202	Trial: 202
AB14	NONE	3801	7	512.9	388.7	203	Trial: 203
AB14	NONE	3792	7	517.1	391.3	204	Trial: 204
AB14	NONE	1432	7	510.5	384.6	205	Trial: 205
AB14	NONE	1537	1450	494.1	377.4	205	Trial: 205
AB14	NONE	3385	1552	505.8	384.7	205	Trial: 205
AB14	NONE	3809	3393	497.1	387.9	205	Trial: 205
AB14	NONE	256	7	507.8	387.3	206	Trial: 206
AB14	NONE	804	271	512.7	388.5	206	Trial: 206
AB14	NONE	3032	815	520.1	387.7	206	Trial: 206
AB14	NONE	3200	3047	508.8	381.8	206	Trial: 206
AB14	NONE	3802	3211	520.4	383.4	206	Trial: 206
AB14	NONE	3797	7	499.5	388.1	207	Trial: 207
AB14	NONE	3802	7	516.4	377.7	208	Trial: 208
AB14	NONE	399	7	508.2	383.6	209	Trial: 209
AB14	NONE	609	415	486.4	372.8	209	Trial: 209
AB14	NONE	3795	624	506.4	377.2	209	Trial: 209
AB14	NONE	666	7	513.5	386.3	210	Trial: 210
AB14	NONE	990	676	503.9	378.3	210	Trial: 210
AB14	NONE	3258	998	512.3	382.6	210	Trial: 210
AB14	NONE	3792	3267	508.9	372.3	210	Trial: 210
AB14	NONE	3793	7	509.6	393	211	Trial: 211
AB14	NONE	294	7	511.2	390.8	212	Trial: 212
AB14	NONE	3802	302	498.9	394.8	212	Trial: 212
AB14	NONE	356	7	515	389.5	213	Trial: 213
AB14	NONE	1435	368	505.5	377.1	213	Trial: 213
AB14	NONE	3726	1444	509.3	377.8	213	Trial: 213
AB14	NONE	3794	3737	517.6	377.4	213	Trial: 213
AB14	NONE	3587	7	503.2	391	214	Trial: 214
AB14	NONE	3791	3601	479.6	391.4	214	Trial: 214
AB14	NONE	3577	7	514.3	387.6	215	Trial: 215
AB14	NONE	3794	3588	500.5	389.7	215	Trial: 215
AB14	NONE	3579	7	508.7	398.9	216	Trial: 216
AB14	NONE	3792	3599	475.8	383.3	216	Trial: 216
AB14	NONE	3552	7	512.2	384.6	217	Trial: 217
AB14	NONE	3802	3560	514.2	378.3	217	Trial: 217
AB14	NONE	3098	7	513.9	385.4	218	Trial: 218
AB14	NONE	3549	3109	516.9	377.1	218	Trial: 218
AB14	NONE	3797	3567	475	371.4	218	Trial: 218
AB14	NONE	639	7	503.9	388.5	219	Trial: 219
AB14	NONE	830	653	496.6	400.1	219	Trial: 219
AB14	NONE	1338	840	504.9	390.4	219	Trial: 219
AB14	NONE	1492	1348	522	386.7	219	Trial: 219
AB14	NONE	1876	1510	506.5	381.6	219	Trial: 219
AB14	NONE	3345	1890	516.5	381.1	219	Trial: 219
AB14	AFTER	3488	3360	521.8	385.7	219	Trial: 219
AB14	BEFORE	3798	3699	531.7	380.4	219	Trial: 219
AB14	NONE	775	7	517.2	388.1	220	Trial: 220
AB14	NONE	3461	783	513.7	378.5	220	Trial: 220
AB14	NONE	3791	3470	525	382.9	220	Trial: 220
AB14	NONE	3792	7	507.6	394.9	221	Trial: 221
AB14	NONE	3196	7	526	387.8	222	Trial: 222
AB14	NONE	3546	7	504.7	382.2	223	Trial: 223
AB14	NONE	3793	3556	510	375	223	Trial: 223
AB14	NONE	680	7	508	388.1	224	Trial: 224
AB14	NONE	3311	690	497.8	392.6	224	Trial: 224
AB14	NONE	3520	3325	478.7	391.5	224	Trial: 224
AB14	NONE	3792	3531	492	396.4	224	Trial: 224
AB14	NONE	272	7	518.3	375.5	225	Trial: 225
AB14	NONE	486	296	489.6	338.5	225	Trial: 225
AB14	NONE	1616	500	515.5	361.9	225	Trial: 225
AB14	NONE	3808	1626	511.3	368.7	225	Trial: 225
AB14	NONE	3365	7	498.2	385.5	226	Trial: 226
AB14	NONE	3478	3372	504.9	431.2	226	Trial: 226
AB14	NONE	3545	3486	524.2	425.4	226	Trial: 226
AB14	NONE	3792	3554	508.5	404.9	226	Trial: 226
AB14	AFTER	238	7	512.9	384.6	227	Trial: 227
AB14	BEFORE	632	424	503	376.7	227	Trial: 227
AB14	NONE	2031	639	517.1	374.4	227	Trial: 227
AB14	NONE	3792	2048	501.3	368.3	227	Trial: 227
AB14	NONE	275	7	513.7	387.4	228	Trial: 228
AB14	NONE	859	283	513.2	373.5	228	Trial: 228
AB14	NONE	1001	869	504.4	367.8	228	Trial: 228
AB14	NONE	1319	1010	512.5	369.1	228	Trial: 228
AB14	AFTER	3167	1327	503.5	379.2	228	Trial: 228
AB14	BEFORE	3755	3613	128.9	376.4	228	Trial: 228
AB14	NONE	3796	7	509.8	403.5	229	Trial: 229
AB14	NONE	3807	7	519.5	392.7	230	Trial: 230
AB14	NONE	671	7	491	366.3	231	Trial: 231
AB14	NONE	1027	684	500.5	375.7	231	Trial: 231
AB14	NONE	1405	1037	490.1	365.6	231	Trial: 231
AB14	NONE	1801	1413	493.3	363.7	231	Trial: 231
AB14	NONE	3374	1814	498.6	350.6	231	Trial: 231
AB14	NONE	3586	3387	487	354.1	231	Trial: 231
AB14	NONE	3812	3597	502.3	359.1	231	Trial: 231
AB14	NONE	2949	7	510.3	386.8	232	Trial: 232
AB14	NONE	3268	2958	509.3	385.8	232	Trial: 232
AB14	NONE	3791	3276	506.3	381.6	232	Trial: 232
AB14	NONE	313	7	513.6	386.2	233	Trial: 233
AB14	NONE	3796	325	508.9	400.2	233	Trial: 233
AB14	NONE	251	7	494.9	373.9	234	Trial: 234
AB14	NONE	445	269	479.9	366.7	234	Trial: 234
AB14	NONE	3794	464	522.2	411.1	234	Trial: 234
AB14	NONE	3801	7	512.9	392.2	235	Trial: 235
AB14	NONE	437	7	509.2	387.5	236	Trial: 236
AB14	NONE	634	445	513.8	396.6	236	Trial: 236
AB14	NONE	3742	641	505.3	399.3	236	Trial: 236
AB14	NONE	3801	3752	494.8	411.5	236	Trial: 236
AB14	NONE	292	7	525.6	385	237	Trial: 237
AB14	AFTER	523	301	536.3	382.1	237	Trial: 237
AB14	BEFORE	1676	688	507.8	413	237	Trial: 237
AB14	NONE	1781	1700	548.7	334.7	237	Trial: 237
AB14	NONE	1975	1808	542.4	349.9	237	Trial: 237
AB14	NONE	3486	1998	523.9	383.7	237	Trial: 237
AB14	NONE	3793	3495	519.6	371.2	237	Trial: 237
AB14	NONE	3794	7	501.8	382.3	238	Trial: 238
AB14	NONE	3792	7	516.4	370.3	239	Trial: 239
AB14	NONE	3792	7	499.1	367.6	240	Trial: 240
