Participant,Group,Parameter,Model,Estimate
18AH2,2,Latency,Truncated Normal,29.3888
18GL7,2,Latency,Truncated Normal,66.6726
18HB9,2,Latency,Truncated Normal,71.5742
18JC,2,Latency,Truncated Normal,73.5823
18JG,2,Latency,Truncated Normal,63.4944
18LS4,2,Latency,Truncated Normal,77.8619
18PF6,2,Latency,Truncated Normal,37.3087
18PG8,2,Latency,Truncated Normal,52.7782
18RC3,2,Latency,Truncated Normal,42.8468
18RN,2,Latency,Truncated Normal,137.9823
18TM5,2,Latency,Truncated Normal,-15.1289
18TR1,2,Latency,Truncated Normal,53.6172
18WN,2,Latency,Truncated Normal,24.0569
18AH2,6,Latency,Truncated Normal,54.0558
18GL7,6,Latency,Truncated Normal,66.0240
18HB9,6,Latency,Truncated Normal,106.9907
18JC,6,Latency,Truncated Normal,80.1908
18JG,6,Latency,Truncated Normal,70.2898
18LS4,6,Latency,Truncated Normal,81.1148
18PF6,6,Latency,Truncated Normal,30.3955
18PG8,6,Latency,Truncated Normal,49.4819
18RC3,6,Latency,Truncated Normal,62.0778
18RN,6,Latency,Truncated Normal,98.6447
18TM5,6,Latency,Truncated Normal,59.5429
18TR1,6,Latency,Truncated Normal,50.8101
18WN,6,Latency,Truncated Normal,57.8948
18AH2,18,Latency,Truncated Normal,62.3349
18GL7,18,Latency,Truncated Normal,104.8361
18HB9,18,Latency,Truncated Normal,88.1229
18JC,18,Latency,Truncated Normal,77.0433
18JG,18,Latency,Truncated Normal,77.9956
18LS4,18,Latency,Truncated Normal,79.5075
18PF6,18,Latency,Truncated Normal,53.6296
18PG8,18,Latency,Truncated Normal,84.9873
18RC3,18,Latency,Truncated Normal,74.3675
18RN,18,Latency,Truncated Normal,132.3803
18TM5,18,Latency,Truncated Normal,65.7813
18TR1,18,Latency,Truncated Normal,61.6617
18WN,18,Latency,Truncated Normal,26.8684
