Participant,Group,Parameter,Model,Estimate
18AH2,2,Efficacy,Normal,0.7636
18GL7,2,Efficacy,Normal,0.9322
18HB9,2,Efficacy,Normal,0.7667
18JC,2,Efficacy,Normal,0.8597
18JG,2,Efficacy,Normal,0.7240
18LS4,2,Efficacy,Normal,0.6817
18PF6,2,Efficacy,Normal,0.7402
18PG8,2,Efficacy,Normal,0.6078
18RC3,2,Efficacy,Normal,0.7248
18RN,2,Efficacy,Normal,0.6617
18TM5,2,Efficacy,Normal,0.7486
18TR1,2,Efficacy,Normal,0.8517
18WN,2,Efficacy,Normal,0.8545
18AH2,6,Efficacy,Normal,0.8799
18GL7,6,Efficacy,Normal,0.5761
18HB9,6,Efficacy,Normal,0.6508
18JC,6,Efficacy,Normal,0.7314
18JG,6,Efficacy,Normal,0.7342
18LS4,6,Efficacy,Normal,0.7879
18PF6,6,Efficacy,Normal,0.6798
18PG8,6,Efficacy,Normal,0.6626
18RC3,6,Efficacy,Normal,0.7812
18RN,6,Efficacy,Normal,0.8073
18TM5,6,Efficacy,Normal,0.8119
18TR1,6,Efficacy,Normal,0.6527
18WN,6,Efficacy,Normal,0.8072
18AH2,18,Efficacy,Normal,0.7509
18GL7,18,Efficacy,Normal,0.7893
18HB9,18,Efficacy,Normal,0.5493
18JC,18,Efficacy,Normal,0.6615
18JG,18,Efficacy,Normal,0.8023
18LS4,18,Efficacy,Normal,0.7290
18PF6,18,Efficacy,Normal,0.6874
18PG8,18,Efficacy,Normal,0.7022
18RC3,18,Efficacy,Normal,0.7721
18RN,18,Efficacy,Normal,0.7987
18TM5,18,Efficacy,Normal,0.6901
18TR1,18,Efficacy,Normal,0.7163
18WN,18,Efficacy,Normal,0.8677
