RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
CT1EndN6	NONE	613.40	582.10	1	Trial: 1
CT1EndN6	NONE	644.80	546.00	1	Trial: 1
CT1EndN6	NONE	595.40	416.80	1	Trial: 1
CT1EndN6	NONE	654.80	562.30	1	Trial: 1
CT1EndN6	NONE	642.60	534.20	1	Trial: 1
CT1EndN6	NONE	639.30	879.20	2	Trial: 2
CT1EndN6	NONE	651.80	611.50	2	Trial: 2
CT1EndN6	NONE	648.30	552.00	2	Trial: 2
CT1EndN6	NONE	639.30	538.60	2	Trial: 2
CT1EndN6	NONE	622.00	892.20	3	Trial: 3
CT1EndN6	NONE	646.60	646.10	3	Trial: 3
CT1EndN6	NONE	637.90	544.50	3	Trial: 3
CT1EndN6	NONE	627.80	680.20	4	Trial: 4
CT1EndN6	NONE	642.70	829.80	4	Trial: 4
CT1EndN6	NONE	597.00	580.00	4	Trial: 4
CT1EndN6	NONE	639.00	528.00	4	Trial: 4
CT1EndN6	NONE	659.90	539.70	5	Trial: 5
CT1EndN6	NONE	626.40	564.40	5	Trial: 5
CT1EndN6	NONE	631.10	532.70	5	Trial: 5
CT1EndN6	NONE	639.50	543.80	6	Trial: 6
CT1EndN6	NONE	634.20	565.00	6	Trial: 6
CT1EndN6	NONE	624.60	541.30	6	Trial: 6
CT1EndN6	NONE	647.30	688.10	7	Trial: 7
CT1EndN6	NONE	633.00	531.40	7	Trial: 7
CT1EndN6	NONE	637.30	540.20	7	Trial: 7
CT1EndN6	NONE	633.40	685.40	8	Trial: 8
CT1EndN6	NONE	677.00	541.70	8	Trial: 8
CT1EndN6	NONE	627.00	538.10	8	Trial: 8
CT1EndN6	NONE	707.00	534.80	9	Trial: 9
CT1EndN6	NONE	659.50	525.40	9	Trial: 9
CT1EndN6	NONE	626.00	526.40	9	Trial: 9
CT1EndN6	NONE	644.20	574.90	10	Trial: 10
CT1EndN6	NONE	626.00	562.80	10	Trial: 10
CT1EndN6	NONE	628.40	526.00	10	Trial: 10
CT1EndN6	NONE	632.70	552.80	11	Trial: 11
CT1EndN6	NONE	619.00	557.90	11	Trial: 11
CT1EndN6	NONE	624.00	538.90	11	Trial: 11
CT1EndN6	NONE	625.40	528.30	12	Trial: 12
CT1EndN6	NONE	644.50	543.00	13	Trial: 13
CT1EndN6	NONE	623.50	537.20	13	Trial: 13
CT1EndN6	NONE	442.70	496.70	13	Trial: 13
CT1EndN6	NONE	633.40	571.50	14	Trial: 14
CT1EndN6	NONE	610.80	569.70	14	Trial: 14
