RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_START	CURRENT_FIX_END	TRIAL_INDEX	TRIAL_LABEL
18AW12	NONE	501.50	372.80	7	2078	1	Trial: 1
18AW12	NONE	504.00	378.70	7	2086	2	Trial: 2
18AW12	NONE	505.20	382.50	7	2078	3	Trial: 3
18AW12	NONE	505.50	387.40	7	2087	4	Trial: 4
18AW12	NONE	508.50	378.00	7	2078	5	Trial: 5
18AW12	NONE	505.20	378.80	7	2087	6	Trial: 6
18AW12	NONE	503.50	386.60	7	271	7	Trial: 7
18AW12	NONE	497.30	376.80	277	2078	7	Trial: 7
18AW12	NONE	511.60	386.20	7	2078	8	Trial: 8
18AW12	NONE	506.30	379.70	7	499	9	Trial: 9
18AW12	NONE	500.10	376.60	514	2078	9	Trial: 9
18AW12	NONE	504.20	390.40	7	2077	10	Trial: 10
18AW12	NONE	507.00	386.00	7	346	11	Trial: 11
18AW12	NONE	511.70	382.50	358	669	11	Trial: 11
18AW12	NONE	510.70	374.50	688	2087	11	Trial: 11
18AW12	NONE	500.40	380.70	7	2078	12	Trial: 12
18AW12	NONE	512.20	381.20	7	528	13	Trial: 13
18AW12	NONE	513.00	378.30	542	2078	13	Trial: 13
18AW12	NONE	512.10	377.60	7	2083	14	Trial: 14
18AW12	NONE	507.20	386.90	7	2082	15	Trial: 15
18AW12	NONE	509.90	376.50	7	523	16	Trial: 16
18AW12	NONE	506.70	374.00	542	2086	16	Trial: 16
18AW12	NONE	512.60	388.70	7	2079	17	Trial: 17
18AW12	NONE	513.40	380.50	7	2078	18	Trial: 18
18AW12	NONE	514.20	384.90	7	2078	19	Trial: 19
18AW12	NONE	512.00	383.90	7	2087	20	Trial: 20
18AW12	NONE	500.90	383.20	7	2079	21	Trial: 21
18AW12	NONE	496.70	385.20	7	2095	22	Trial: 22
18AW12	NONE	500.50	385.10	7	2087	23	Trial: 23
18AW12	NONE	512.80	384.80	7	460	24	Trial: 24
18AW12	NONE	520.90	400.50	473	2078	24	Trial: 24
18AW12	NONE	507.20	391.10	7	2079	25	Trial: 25
18AW12	NONE	502.30	377.90	7	1627	26	Trial: 26
18AW12	NONE	520.10	362.40	1644	1848	26	Trial: 26
18AW12	NONE	501.80	376.00	1861	2077	26	Trial: 26
18AW12	NONE	603.70	356.70	7	77	27	Trial: 27
18AW12	NONE	511.50	344.30	104	288	27	Trial: 27
18AW12	NONE	521.20	376.90	303	2083	27	Trial: 27
18AW12	NONE	510.60	385.10	7	2082	28	Trial: 28
18AW12	NONE	507.40	384.00	7	2078	29	Trial: 29
18AW12	NONE	516.40	386.40	7	2080	30	Trial: 30
18AW12	NONE	508.90	389.90	7	457	31	Trial: 31
18AW12	NONE	510.50	391.30	470	2079	31	Trial: 31
18AW12	NONE	511.10	382.60	7	278	32	Trial: 32
18AW12	NONE	515.20	387.40	285	2082	32	Trial: 32
18AW12	NONE	511.90	379.00	7	2080	33	Trial: 33
18AW12	NONE	506.90	389.40	7	456	34	Trial: 34
18AW12	NONE	512.00	392.20	463	2094	34	Trial: 34
18AW12	NONE	516.30	386.30	7	2093	35	Trial: 35
18AW12	AFTER	515.30	392.20	7	473	36	Trial: 36
18AW12	BEFORE	507.70	393.70	668	2078	36	Trial: 36
18AW12	AFTER	506.00	384.80	7	401	37	Trial: 37
18AW12	BEFORE	501.50	386.60	622	2085	37	Trial: 37
18AW12	NONE	509.00	385.30	7	570	38	Trial: 38
18AW12	NONE	505.40	381.50	585	2078	38	Trial: 38
18AW12	NONE	518.40	377.80	7	2078	39	Trial: 39
18AW12	AFTER	514.60	386.30	7	317	40	Trial: 40
18AW12	BEFORE	515.70	377.90	549	821	40	Trial: 40
18AW12	NONE	520.50	386.50	830	2079	40	Trial: 40
18AW12	NONE	502.30	381.40	7	2077	41	Trial: 41
18AW12	NONE	513.80	388.20	7	2079	42	Trial: 42
18AW12	NONE	507.00	389.90	7	415	43	Trial: 43
18AW12	AFTER	511.50	398.20	423	446	43	Trial: 43
18AW12	BEFORE	499.40	410.10	639	809	43	Trial: 43
18AW12	NONE	500.90	396.70	819	2079	43	Trial: 43
18AW12	AFTER	507.00	382.70	7	967	44	Trial: 44
18AW12	BEFORE	495.00	387.70	1136	2086	44	Trial: 44
18AW12	NONE	502.80	388.10	7	2078	45	Trial: 45
18AW12	NONE	510.80	376.40	7	2079	46	Trial: 46
18AW12	NONE	515.00	383.00	7	2089	47	Trial: 47
18AW12	NONE	511.20	385.60	7	2079	48	Trial: 48
18AW12	NONE	511.10	389.30	7	292	49	Trial: 49
18AW12	NONE	510.90	403.60	312	2084	49	Trial: 49
18AW12	NONE	510.50	390.70	7	2081	50	Trial: 50
18AW12	NONE	501.50	375.00	7	2079	51	Trial: 51
18AW12	NONE	506.40	381.50	7	2078	52	Trial: 52
18AW12	NONE	508.50	386.40	7	2091	53	Trial: 53
18AW12	AFTER	502.80	388.00	7	842	54	Trial: 54
18AW12	BEFORE	498.90	389.10	1015	2078	54	Trial: 54
18AW12	NONE	504.90	379.30	7	2087	55	Trial: 55
18AW12	AFTER	514.70	382.00	7	1270	56	Trial: 56
18AW12	BEFORE	511.40	393.90	1458	2078	56	Trial: 56
18AW12	NONE	511.20	395.30	7	2079	57	Trial: 57
18AW12	NONE	510.70	382.30	7	2078	58	Trial: 58
18AW12	NONE	512.60	380.40	7	2086	59	Trial: 59
18AW12	NONE	500.30	392.10	7	2079	60	Trial: 60
18AW12	NONE	507.70	384.20	7	2078	61	Trial: 61
18AW12	NONE	516.00	385.00	7	2088	62	Trial: 62
18AW12	NONE	501.90	384.30	7	2078	63	Trial: 63
18AW12	NONE	516.60	391.40	7	476	64	Trial: 64
18AW12	NONE	523.40	393.10	485	2078	64	Trial: 64
18AW12	NONE	508.60	380.80	7	293	65	Trial: 65
18AW12	NONE	507.90	382.60	310	1556	65	Trial: 65
18AW12	NONE	538.40	354.40	1578	1792	65	Trial: 65
18AW12	NONE	498.90	395.30	1816	2008	65	Trial: 65
18AW12	NONE	507.10	391.80	2015	2078	65	Trial: 65
18AW12	NONE	517.10	383.60	7	2087	66	Trial: 66
18AW12	NONE	512.40	397.40	7	2082	67	Trial: 67
18AW12	NONE	517.70	384.20	7	2095	68	Trial: 68
18AW12	NONE	508.60	389.20	7	2078	69	Trial: 69
18AW12	NONE	504.10	382.40	7	2094	70	Trial: 70
18AW12	NONE	510.80	387.70	7	302	71	Trial: 71
18AW12	NONE	503.70	384.60	312	2085	71	Trial: 71
18AW12	NONE	521.20	384.90	7	2084	72	Trial: 72
18AW12	NONE	513.40	369.70	7	2077	73	Trial: 73
18AW12	AFTER	516.50	381.20	7	713	74	Trial: 74
18AW12	BEFORE	529.40	360.40	917	1103	74	Trial: 74
18AW12	NONE	510.20	385.10	1115	2077	74	Trial: 74
18AW12	NONE	516.20	394.30	7	1864	75	Trial: 75
18AW12	NONE	514.40	389.10	1880	2093	75	Trial: 75
18AW12	NONE	508.30	397.50	7	2083	76	Trial: 76
18AW12	NONE	509.90	382.30	7	1006	77	Trial: 77
18AW12	NONE	519.00	382.10	1019	1816	77	Trial: 77
18AW12	NONE	504.60	385.30	1827	2087	77	Trial: 77
18AW12	NONE	506.10	394.00	7	2080	78	Trial: 78
18AW12	NONE	508.60	387.50	7	1434	79	Trial: 79
18AW12	NONE	510.40	391.50	1443	1951	79	Trial: 79
18AW12	NONE	500.90	390.20	1961	2077	79	Trial: 79
18AW12	AFTER	510.20	374.30	7	266	80	Trial: 80
18AW12	BEFORE	496.40	380.50	508	883	80	Trial: 80
18AW12	NONE	505.00	386.00	894	2083	80	Trial: 80
18AW12	NONE	509.00	392.00	7	2084	81	Trial: 81
18AW12	NONE	508.50	391.50	7	2087	82	Trial: 82
18AW12	NONE	535.30	413.20	7	1451	83	Trial: 83
18AW12	NONE	496.70	398.60	1464	2079	83	Trial: 83
18AW12	NONE	511.90	383.10	7	2094	84	Trial: 84
18AW12	NONE	500.20	386.20	7	2078	85	Trial: 85
18AW12	NONE	515.60	380.20	7	2085	86	Trial: 86
18AW12	NONE	520.30	383.20	7	2086	87	Trial: 87
18AW12	NONE	515.30	386.50	7	2078	88	Trial: 88
18AW12	NONE	517.70	380.90	7	733	89	Trial: 89
18AW12	NONE	502.40	366.30	747	2084	89	Trial: 89
18AW12	NONE	512.70	387.40	7	2088	90	Trial: 90
18AW12	NONE	516.60	382.80	7	375	91	Trial: 91
18AW12	NONE	510.10	378.60	381	2078	91	Trial: 91
18AW12	NONE	512.10	370.60	7	1871	92	Trial: 92
18AW12	NONE	516.40	359.40	1880	2086	92	Trial: 92
18AW12	NONE	519.70	375.60	7	2079	93	Trial: 93
18AW12	NONE	511.10	384.70	7	2078	94	Trial: 94
18AW12	NONE	509.30	381.20	7	755	95	Trial: 95
18AW12	NONE	516.70	366.40	767	2091	95	Trial: 95
18AW12	NONE	509.70	388.80	7	2078	96	Trial: 96
18AW12	NONE	508.10	395.30	7	2032	97	Trial: 97
18AW12	NONE	528.00	394.90	2047	2089	97	Trial: 97
18AW12	NONE	515.90	376.80	7	2082	98	Trial: 98
18AW12	NONE	507.70	389.50	7	1500	99	Trial: 99
18AW12	NONE	513.60	381.50	1508	2088	99	Trial: 99
18AW12	NONE	519.00	387.30	7	1835	100	Trial: 100
18AW12	NONE	529.00	388.10	1844	2084	100	Trial: 100
18AW12	NONE	520.00	381.20	7	1136	101	Trial: 101
18AW12	NONE	514.80	378.10	1143	2083	101	Trial: 101
18AW12	NONE	512.10	384.60	7	504	102	Trial: 102
18AW12	NONE	511.40	390.00	511	2079	102	Trial: 102
18AW12	NONE	510.90	386.80	7	388	103	Trial: 103
18AW12	NONE	515.60	393.10	398	1099	103	Trial: 103
18AW12	NONE	504.00	386.90	1106	2078	103	Trial: 103
18AW12	NONE	507.10	391.10	7	2087	104	Trial: 104
18AW12	NONE	525.20	392.30	7	1902	105	Trial: 105
18AW12	NONE	511.90	401.30	1909	2079	105	Trial: 105
18AW12	NONE	511.60	395.80	7	2083	106	Trial: 106
18AW12	NONE	514.20	385.50	7	387	107	Trial: 107
18AW12	NONE	521.30	391.40	398	1773	107	Trial: 107
18AW12	NONE	525.60	395.30	1784	2088	107	Trial: 107
18AW12	NONE	509.50	384.60	7	859	108	Trial: 108
18AW12	NONE	506.40	388.70	870	2084	108	Trial: 108
18AW12	NONE	502.20	391.00	7	2078	109	Trial: 109
18AW12	NONE	509.40	393.40	7	2089	110	Trial: 110
18AW12	NONE	514.20	375.00	7	2093	111	Trial: 111
